item_id,family_keyword,brand,title,original_sid,qcr_sid,original_l1,qcr_l1,original_l2_prefix,qcr_l2_prefix,original_l1_bucket_size,qcr_l1_bucket_size,delta_l1_bucket_size,original_l2_bucket_size,qcr_l2_bucket_size,delta_l2_bucket_size,original_full_bucket_size,qcr_full_bucket_size,delta_full_bucket_size,original_l1_same_family_frac,qcr_l1_same_family_frac,delta_l1_same_family_frac,original_l2_same_family_frac,qcr_l2_same_family_frac,delta_l2_same_family_frac,original_l1_same_brand_frac,qcr_l1_same_brand_frac,delta_l1_same_brand_frac,original_l2_same_brand_frac,qcr_l2_same_brand_frac,delta_l2_same_brand_frac,original_l1_avg_cos_to_bucket,qcr_l1_avg_cos_to_bucket,delta_l1_avg_cos_to_bucket,original_l2_avg_cos_to_bucket,qcr_l2_avg_cos_to_bucket,delta_l2_avg_cos_to_bucket
0,battery_electrical,"Sealed Unit Parts Co., Inc.",SUPCO SPP6 Relay/Capacitor Hard Start Kit with 500% Increase Starting Torque,<a_236><b_231><c_226>,<a_93><b_24><c_43>,<a_236>,<a_93>,<a_236><b_231>,<a_93><b_24>,84,28,-56,3,1,-2,1,1,0,0.6547619047619048,0.35714285714285715,-0.2976190476190476,1.0,1.0,0.0,0.011904761904761904,0.03571428571428571,0.023809523809523808,0.3333333333333333,1.0,0.6666666666666667,0.8101890288203596,0.8121845104076244,0.0019954815872648135,0.8955733776092529,,
1,pipe_fitting,Stanley,"Stanley TRA708T Sharpshooter 1/2-Inch Leg Length Staples, Steel (1000 Count)",<a_42><b_80><c_160>,<a_2><b_225><c_174>,<a_42>,<a_2>,<a_42><b_80>,<a_2><b_225>,100,59,-41,1,1,0,1,1,0,0.2,0.06779661016949153,-0.1322033898305085,1.0,1.0,0.0,0.06,0.05084745762711865,-0.00915254237288135,1.0,1.0,0.0,0.8521658386846985,0.8622744330044451,0.010108594319746533,,,
2,pipe_fitting,Stanley,Stanley TRA708SST 1/2-Inch HD Stainless Steel Narrow Crown Staple,<a_42><b_194><c_177>,<a_146><b_54><c_72>,<a_42>,<a_146>,<a_42><b_194>,<a_146><b_54>,100,19,-81,1,1,0,1,1,0,0.2,0.3157894736842105,0.1157894736842105,1.0,1.0,0.0,0.06,0.15789473684210525,0.09789473684210526,1.0,1.0,0.0,0.8479225081626816,0.8397982915242513,-0.008124216638430215,,,
3,fastener_screw,Kreg,"Kreg SML-C125-500 1-1/4-Inch #8 Coarse Pocket Hole Screws with Washer-Head, 500-Pack",<a_224><b_163><c_184>,<a_170><b_66><c_94>,<a_224>,<a_170>,<a_224><b_163>,<a_170><b_66>,191,59,-132,7,1,-6,1,1,0,0.5706806282722513,0.4915254237288136,-0.07915520454343772,1.0,1.0,0.0,0.06806282722513089,0.22033898305084745,0.15227615582571657,1.0,1.0,0.0,0.8551385176809211,0.8912895465719288,0.03615102889100774,0.9663306077321371,,
4,abrasive_sandpaper,Dico,Dico 541-774-21/2 Nyalox Cup Brush 21/2-Inch Grey 80 Grit,<a_24><b_255><c_63>,<a_161><b_116><c_241>,<a_24>,<a_161>,<a_24><b_255>,<a_161><b_116>,119,35,-84,2,1,-1,1,1,0,0.03361344537815126,0.17142857142857143,0.13781512605042018,1.0,1.0,0.0,0.03361344537815126,0.11428571428571428,0.08067226890756302,1.0,1.0,0.0,0.8166808435472391,0.8954731997321633,0.0787923561849242,0.9586348533630371,,
5,adhesive_glue,Satellite City,"Hot Stuff Super T Medium Instant CA Glue, 2oz HST-4",<a_165><b_25><c_46>,<a_241><b_128><c_5>,<a_165>,<a_241>,<a_165><b_25>,<a_241><b_128>,72,42,-30,1,1,0,1,1,0,0.7638888888888888,0.9047619047619048,0.14087301587301593,1.0,1.0,0.0,0.013888888888888888,0.023809523809523808,0.00992063492063492,1.0,1.0,0.0,0.8874358056296765,0.8972359634027248,0.009800157773048324,,,
6,adhesive_glue,PORTER-CABLE,PORTER-CABLE 740000801 4 1/2-Inch x 10yd 80 Grit Adhesive-Backed Sanding Roll,<a_193><b_196><c_9>,<a_15><b_200><c_124>,<a_193>,<a_15>,<a_193><b_196>,<a_15><b_200>,133,37,-96,3,1,-2,1,1,0,0.015037593984962405,0.02702702702702703,0.011989433042064623,0.6666666666666666,1.0,0.33333333333333337,0.015037593984962405,0.02702702702702703,0.011989433042064623,0.6666666666666666,1.0,0.33333333333333337,0.8479027603611802,0.8743991851806641,0.026496424819483888,0.9484665393829346,,
7,other,UltraSource,"UltraSource 192033 Hamburger Patty Paper, 5.5"" x 5.5"" (Pack of 1000)",<a_210><b_231><c_0>,<a_211><b_228><c_0>,<a_210>,<a_211>,<a_210><b_231>,<a_211><b_228>,95,57,-38,2,2,0,2,2,0,0.6,0.5789473684210527,-0.021052631578947323,1.0,1.0,0.0,0.021052631578947368,0.03508771929824561,0.014035087719298244,1.0,1.0,0.0,0.8112795403663148,0.8344557625906808,0.023176222224365994,1.0,1.0,0.0
8,other,UltraSource,"UltraSource 192033 Hamburger Patty Paper, 5.5"" x 5.5"" (Pack of 1000)",<a_210><b_231><c_0>,<a_211><b_228><c_0>,<a_210>,<a_211>,<a_210><b_231>,<a_211><b_228>,95,57,-38,2,2,0,2,2,0,0.6,0.5789473684210527,-0.021052631578947323,1.0,1.0,0.0,0.021052631578947368,0.03508771929824561,0.014035087719298244,1.0,1.0,0.0,0.8112795403663148,0.8344557625906808,0.023176222224365994,1.0,1.0,0.0
9,pipe_fitting,Anderson Metals,"Anderson Metals Brass Tube Fitting, Half-Union, 3/8"" Flare x 1/8"" Male Pipe",<a_108><b_140><c_213>,<a_140><b_85><c_241>,<a_108>,<a_140>,<a_108><b_140>,<a_140><b_85>,143,63,-80,3,1,-2,1,1,0,0.7272727272727273,0.873015873015873,0.14574314574314573,0.6666666666666666,1.0,0.33333333333333337,0.18181818181818182,0.4126984126984127,0.23088023088023085,0.6666666666666666,1.0,0.33333333333333337,0.8557182634380501,0.8956908564413747,0.039972593003324564,0.8949112892150879,,
10,tape,3M,"Scotch Foil Tape, 2-Inch by 50-Yard",<a_202><b_243><c_240>,<a_247><b_1><c_77>,<a_202>,<a_247>,<a_202><b_243>,<a_247><b_1>,117,64,-53,1,1,0,1,1,0,0.9743589743589743,0.96875,-0.005608974358974339,1.0,1.0,0.0,0.2222222222222222,0.25,0.02777777777777779,1.0,1.0,0.0,0.901355217243063,0.9029063270205543,0.0015511097774912885,,,
11,other,TRLEN,"T&Uuml;RLEN DIAL INDICATOR 0-1"" AGD SPEC 0.001"" w/LUG BACK",<a_104><b_152><c_192>,<a_38><b_19><c_135>,<a_104>,<a_38>,<a_104><b_152>,<a_38><b_19>,60,46,-14,1,1,0,1,1,0,0.7333333333333333,0.7391304347826086,0.005797101449275366,1.0,1.0,0.0,0.05,0.06521739130434782,0.015217391304347822,1.0,1.0,0.0,0.8689068939726231,0.8780755784776476,0.009168684505024505,,,
12,other,Eclipse,"Eclipse Quick Release Woodworking Vise, Gray Cast Iron, 9"" Size",<a_193><b_237><c_29>,<a_20><b_132><c_139>,<a_193>,<a_20>,<a_193><b_237>,<a_20><b_132>,133,34,-99,2,1,-1,1,1,0,0.48120300751879697,0.7941176470588235,0.3129146395400265,1.0,1.0,0.0,0.007518796992481203,0.029411764705882353,0.02189296771340115,0.5,1.0,0.5,0.8027291731400923,0.871509956591057,0.06878078345096472,0.9185298681259155,,
13,other,Amprobe,"Amprobe TL36A Test Leads with Alligator Clips, 1000V",<a_211><b_68><c_36>,<a_21><b_31><c_29>,<a_211>,<a_21>,<a_211><b_68>,<a_21><b_31>,45,22,-23,2,2,0,1,1,0,0.4888888888888889,0.7727272727272727,0.28383838383838383,1.0,1.0,0.0,0.044444444444444446,0.13636363636363635,0.0919191919191919,1.0,1.0,0.0,0.8134154406460848,0.8400564647856212,0.026641024139536396,0.9914387464523315,0.9914387464523315,0.0
14,other,Titan Tools,Titan Tools 11185 Telescoping Inspection Mirror,<a_180><b_48><c_25>,<a_92><b_189><c_105>,<a_180>,<a_92>,<a_180><b_48>,<a_92><b_189>,81,22,-59,1,1,0,1,1,0,0.7654320987654321,0.9090909090909091,0.143658810325477,1.0,1.0,0.0,0.012345679012345678,0.045454545454545456,0.03310886644219978,1.0,1.0,0.0,0.8291110992431641,0.855711164928618,0.026600065685453922,,,
15,fastener_screw,Kreg,"Kreg SML-C2-250 Pocket Screws 2-Inch, 8 Coarse, Washer Head, 250 Count",<a_224><b_163><c_151>,<a_170><b_34><c_245>,<a_224>,<a_170>,<a_224><b_163>,<a_170><b_34>,191,59,-132,7,1,-6,1,1,0,0.5706806282722513,0.4915254237288136,-0.07915520454343772,1.0,1.0,0.0,0.06806282722513089,0.22033898305084745,0.15227615582571657,1.0,1.0,0.0,0.8701041773745888,0.901196446912042,0.031092269537453254,0.9644621213277181,,
16,adhesive_glue,PORTER-CABLE,PORTER-CABLE 740001201 4 1/2-Inch by 10yd 120 Grit Adhesive-Backed Sanding Roll,<a_193><b_196><c_0>,<a_2><b_29><c_92>,<a_193>,<a_2>,<a_193><b_196>,<a_2><b_29>,133,59,-74,3,2,-1,1,1,0,0.015037593984962405,0.01694915254237288,0.0019115585574104761,0.6666666666666666,0.5,-0.16666666666666663,0.015037593984962405,0.06779661016949153,0.05275901618452912,0.6666666666666666,0.5,-0.16666666666666663,0.8502564863725142,0.829300255611025,-0.020956230761489114,0.9498131275177002,0.8708462715148926,-0.07896685600280762
