metric,original,qcr,delta_qcr_minus_original,relative_delta_pct
n_items,3686,3686,0,0.0
collision_count,16,11,-5,-31.25
collision_rate,0.004340748779164406,0.002984264785675529,-0.001356483993488877,-31.250000000000007
max_conflict,3,2,-1,-33.33333333333333
active_l1,48,117,69,143.75
unique_l2_prefix,2295,2632,337,14.684095860566448
unique_full_sid,3670,3675,5,0.13623978201634876
max_l1_bucket,247,214,-33,-13.360323886639677
p50_l1_bucket,67.5,30.0,-37.5,-55.55555555555556
p90_l1_bucket,119.0,53.0,-66.0,-55.46218487394958
p95_l1_bucket,139.5,59.799999999999955,-79.70000000000005,-57.13261648745524
top5_l1_coverage,0.22599023331524687,0.13456321215409658,-0.09142702116115028,-40.45618247298919
top10_l1_coverage,0.3844275637547477,0.21513836136733586,-0.16928920238741182,-44.03669724770643
effective_l1_exp_entropy,40.71941581958141,94.36396200172403,53.644546182142626,131.74193465797637
H_l1,3.706705025861888,4.547159241806831,0.8404542159449431,22.67388988551954
H_l2_given_l1,3.788688200283702,3.1349433335882875,-0.6537448666954147,-17.255177310354053
H_l3_given_l2,0.7107444009827733,0.5260574933906934,-0.18468690759207984,-25.984996482097678
item_weighted_mean_l1_bucket_size,103.25393380358112,49.268583830710796,-53.985349972870324,-52.284061230602696
item_weighted_mean_l2_bucket_size,3.28540423223006,2.5246880086814976,-0.7607162235485623,-23.154417836498766
item_weighted_mean_full_bucket_size,1.0092240911557244,1.005968529571351,-0.0032555615843734564,-0.32258064516130536
mean_l1_same_family_frac_item_weighted,0.4879980171889164,0.5372146149904162,0.04921659780149984,10.085409380351406
mean_l2_same_family_frac_item_weighted,0.9196076531535023,0.9493228014524813,0.029715148298978922,3.2312854506027935
mean_l1_same_brand_frac_item_weighted,0.0659903195898361,0.11904496802492723,0.053054648435091126,80.39762311328866
mean_l2_same_brand_frac_item_weighted,0.8387223711294878,0.8868115637715306,0.04808919264204281,5.733624653087794
mean_l1_avg_cos_item_weighted,0.8432009508002599,0.8641874870963776,0.020986536296117686,2.4889127883691207
mean_l2_avg_cos_item_weighted,0.9529993678160953,0.9604832985972959,0.007483930781200576,0.7853028064804325
