variant,level,bucket,size,top_family,top_family_frac,top_brand,top_brand_frac,family_counts_top6,brand_counts_top6,example_items
original,1,<a_223>,247,3d_filament,0.9433198380566802,HATCHBOX,0.2631578947368421,3d_filament:233; other:12; blade_tool:1; pipe_fitting:1,HATCHBOX:65; eSUN:29; 3D Solutech:29; Gizmo Dorks:13; SainSmart:10; BuildTak:6,"3674:1.75mm Green PLA 3D Printer Filament - 1kg Spool (2.2 lbs) - Dimensional Accuracy +/- 0.03 || 3375:2.0 mm ID PTFE Teflon Tube for 1.75 mm Filament RepRap-DIY 3D Printer Parts - 4.5' Piece || 3429:3D Printer Filament 1.75mm Black ABS - 1kg (2.2 lbs) 100% USA || 2659:3D Solutech Apple Green 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/-  || 3599:3D Solutech Aqua Blue 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0. || 2993:3D Solutech Blue 3D Printer Ultra PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0"
original,1,<a_224>,191,fastener_screw,0.5706806282722513,Hillman,0.1256544502617801,fastener_screw:109; 3d_filament:33; other:18; pipe_fitting:13; blade_tool:13; tape:4,Hillman:24; Small Parts:17; Kreg:13; uxcell:11; Stainless Town:7; The Hillman Group:7,"923:#1 Best Quality Wood Screw Assortment Kit, 240 Pieces || 1975:1-1/8"" Blk Coarse Thread Drywall Screw W/ Bugle Head 1# Box || 2382:1/2"" - 28 UNEF Right hand Thread Die || 3174:1/4 Inch-20x1/2 Inch Hex Socket Button Head Bolts Screws 50pcs || 2335:100Pcs M3 3mm Female Thread Hex Metal Nut Fastener Silver Tone || 3045:100pc. #4 x 1/2"" Brass-plated Phillips Round-Head Wood Screws"
original,1,<a_108>,143,pipe_fitting,0.7272727272727273,Anderson Metals,0.18181818181818182,pipe_fitting:104; other:15; fastener_screw:9; connector_terminal:7; 3d_filament:4; tape:2,Anderson Metals:26; Merit Brass:18; Dixon Valve & Coupling:9; PneumaticPlus:4; Apache:4; Spears Manufacturing:3,"1750:1 X Drilled Rubber Stopper #6.5 (Set of 3) || 3189:1/2"" FPT TO 1/2"" BARB - Stainless Steel || 3229:100 qty 1/4"" Stainless Steel Flat Washers (18-8 Stainless) || 1360:4"" to 2-1/2"" - Y - DUST COLLECTION HOSE FITTING By Peachtree Woodworking - PW416 || 3342:Anderson Metals 06102 Brass Pipe Fitting, Barstock Cross, 1/4"" x 1/4"" x 1/4"" x 1/4"" NPT Fe || 700:Anderson Metals 06130 Brass Pipe Fitting, 90 Degree Barstock Elbow, 1/4"" NPT Male x 1/4"" N"
original,1,<a_193>,133,other,0.48120300751879697,DEWALT,0.10526315789473684,other:64; abrasive_sandpaper:19; wire_cable:18; blade_tool:17; pipe_fitting:9; 3d_filament:3,DEWALT:14; Forney:11; Dremel:8; Wilton:5; SE:5; uxcell:5,"1139:1"" x 30"" SURGI-SHARP&reg; Leather Belt & Abrasive Stick || 1326:2pc 1/8""-Shank Mandrel Set - For 1/8"" & 1/4"" Wheel Disc Arbor Holes - Fits Dremel || 2408:3/8"" 4Fl SE Carbide End Mill || 983:3M(TM) Cubitron(TM) II Flap Disc 967A, T29 Giant (Multiple Sizes and Grit Types) || 32:4-1/2"" Cut-off Wheels for Metal, for Cutting All Ferrous Metals and Stainless Steel || 802:4.5"" x 7/8"" Premium Zirconia Flap Discs Grinding Wheels 60 Grit Type 27-10 Pack"
original,1,<a_24>,119,other,0.6890756302521008,Shop-Vac,0.10084033613445378,other:82; wire_cable:11; 3d_filament:11; pipe_fitting:5; abrasive_sandpaper:4; battery_electrical:3,Shop-Vac:12; Philips Sonicare:11; Hoover:8; iRobot:6; Colgate:5; Dico:4,"1045:10 Piece Tube Bottle Brush Kit Brass Stainless Steel Bristle 12"" Long, Size 1/4"" to 3/4"" P || 696:2-pack of 18"" Inch Microfiber Wet Mop Pads for Commercial Microfiber Mops || 3142:3M Easy Trap Duster, 5"" x 6"" x 30' Dusting Cloth (8 Boxes of 60 Sheets) || 1385:ARM & HAMMER Spinbrush Classic Clean Battery Toothbrush || 984:ARM & HAMMER Spinbrush Pro Series Ultra White Toothbrush, Medium 1 ea || 2185:ARM & HAMMER Truly Radiant Battery Toothbrush + Toothpaste Pack"
original,1,<a_67>,119,wire_cable,0.5126050420168067,Install Bay,0.15126050420168066,wire_cable:61; connector_terminal:38; heat_shrink:9; 3d_filament:5; tape:3; other:2,Install Bay:18; Ginsco:11; Remington Industries:11; American Terminal:9; Gardner Bender:9; Loos & Co.:5,"1066:10 Pcs PG13.5 White Plastic Waterproof Connectors Cable Glands || 1032:100pcs Male & Female Insulated Wire Bullet Crimp Connector Terminal. || 3203:100x European Male & Female Insulated Spade Quick Wire Crimp Connectors 22-16AWG || 2032:360-Piece Solderless Electrical Terminal Assortment || 1186:360-piece Solderless Electrical Terminal Assortment || 2898:3M Scotchlok IDC Butt Connector, 100 Pack Yellow"
original,1,<a_71>,118,other,0.576271186440678,National Hardware,0.0847457627118644,other:68; pipe_fitting:16; wire_cable:15; 3d_filament:7; bearing_mechanical:5; tape:3,National Hardware:10; Keeper:7; Dorman Hardware:5; uxcell:5; BC Precision:5; BC Precision Balls:4,"1855:10-PC 5"" S HOOK WITH PVC COATING || 2505:100 3/8"" Inch Chrome Steel Bearing Balls G25 || 2082:1000 qty 3/8"" Inch Steel Shot Slingshot Ammo Balls || 516:100pc 1/4"" Grommets Eyelets for Clothes, Leather, Canvas - Self-Backing || 1183:2-3/8"" Flexible Desk Grommet - Color: Black - 5 Pack || 3398:25 3/4"" Inch Chrome Steel Bearing Balls G25"
original,1,<a_202>,117,tape,0.9743589743589743,3M,0.2222222222222222,tape:114; 3d_filament:3,3M:26; Scotch:14; X-Treme Tape:10; Duck:9; Gorilla:8; Intertape Polymer Group:6,"1223:1-7/8 in. Wide Duct Tape, Indoor Silver General Purpose, 60 yards || 2251:3M  Pro Strength Duct Tape, 1230-C, 1.88 Inches by 30 Yards || 553:3M  Pro Strength Duct Tape, 1260-A, 1.88  Inches by 60 Yards || 2395:3M 1194 Foil Tape with Nonconductive Adhesive, 1"" width x 6yd length (1 roll) || 1425:3M 3407NA Friction Tape, 0.708-Inch x 240-Inch || 555:3M 3920-BK Duct Tape Black, 1.88 Inches by 20 Yards"
original,1,<a_150>,116,other,0.7413793103448276,Home Brew Ohio,0.06896551724137931,other:86; 3d_filament:18; fastener_screw:5; pipe_fitting:4; label_tag:2; blade_tool:1,Home Brew Ohio:8; Vestil:5; GreenHealth:4; CML Supply:4; Premium Vials:4; Vivaplex:4,2479:1 Gallon Blue Premium Indicating Silica Gel Beads(Industry Standard 2-4 mm) - 7.5 LBS Reus || 3581:1 Oz (30 ml) AMBER Boston Round Glass Bottle w/Cap - Pack of 12 || 3424:1 X Bronze PVC Shrink Capsules- 30 Per Bag || 3388:1 ml (1/4 dram) Amber Glass Vial with Orifice Reducer & Black Plastic Cap (12 Pack) || 3431:1/4 Dram AMBER Glass Vial - Screw Cap w/ Orifice Reducer - Pack of 24 || 3310:100 Pcs Empty Eye Dropper Bottle Plastic Eye Liquid Screw Cap Lids 5ml
original,1,<a_73>,114,other,0.6228070175438597,uxcell,0.32456140350877194,other:71; connector_terminal:16; 3d_filament:8; battery_electrical:8; tape:5; wire_cable:4,uxcell:37; E-Projects:12; microtivity:8; SUNKEE:5; Joe Knows Electronics:3; Phantom YoYo:3,1749:10 pcs New A3144 A3144E OH3144E 3144 Hall Effect Sensor || 1864:10K Ohm potentiometer potential+black control Knob || 3076:10Pcs 5 x 7 cm DIY Prototype Paper PCB Universal Board New || 3047:2140Pcs SAMSUNG SMD 0805 50 Value Resistor & 32 Value Capacitor Assortment Kit || 2613:2W Metal Film Resistor Assorted Kit 1% tolerance 30Values 300pcs || 3513:2x 40pcs Female to Female 2.54mm 0.1 in Jumper Wires F/F (2x40pcs)
