record_id,stage,run_finished_at,dataset_key,category,variant,tokenizer_record_id,tokenizer_variant,tokenizer_family,recipe,ndcg_at_1,ndcg_at_3,ndcg_at_5,ndcg_at_10,hr_at_1,hr_at_3,hr_at_5,hr_at_10,hr_at_50,test_example_count,constraint_invalid_total,result_json_path,model_path,notes
rl_industrial_title_history2sid_off__desc_align_p05_batch256_20260329_152417,rl_eval,2026-03-29 15:24:17 CST,industrial,Industrial_and_Scientific,title_history2sid_off__desc_align_p05_batch256,tok_industrial_original_semantic,original_semantic_industrial,original_semantic,title_history2sid_off+desc_align_p05,0.07324068,0.08903190,0.09704467,0.10726345,0.07324068,0.10037503,0.11978822,0.15133466,0.21994264,4533,0,./results/final_result_rl_Industrial_and_Scientific_title_history2sid_off__desc_align_p05_batch256_20260329_152417.json,./output/rl_Industrial_and_Scientific_title_history2sid_off__desc_align_p05_batch256_20260329_152417/final_checkpoint,Imported strongest reproduced MiniOneRec RL result into the unified experiment CSV; source JSON and checkpoint already existed in repo before this backfill; RL hyperparameters partially recovered from internal reports: effective_global_batch=256 and num_generations=16; other RL train hyperparameters remain unknown.; RL hyperparameters partially recovered from internal reports: effective_global_batch=256 and num_generations=16; other RL train hyperparameters remain unknown.; RL hyperparameters partially recovered from internal reports: effective_global_batch=256 and num_generations=16; other RL train hyperparameters remain unknown.
rl_industrial_mgr_tokenizer_v2_title_on_desc_p05_20260412_191449,rl_eval,2026-04-12 19:14:49 CST,industrial,Industrial_and_Scientific,mgr_tokenizer_v2_title_on_desc_p05_rl,tok_industrial_mgr_tokenizer_v2_offline,mgr_tokenizer_v2_offline,mgr_v2,title_history2sid_on+desc_align_p05,0.07434370,0.09053678,0.09629833,0.10431921,0.07434370,0.10280168,0.11692036,0.14184867,0.23737039,4533,0,./results/experiments/mgr_sid_v2_rl_on_p05_industrial_20260412/final_result_rl_mgr_tokenizer_v2_title_on_desc_p05_Industrial_and_Scientific.json,/data/leejt/OneRec/output_weights/experiments/mgr_sid_v2_rl_on_p05_industrial_20260412/rl/final_checkpoint,"Industrial v2_on_p05 RL run launched from the best current v2 SFT checkpoint; second launch is the valid aligned run after fixing the first attempt batch-shape mismatch (8/16) to the original-style 16 x 4 x 4 = 256 regime; improves over v2_on_p05 SFT on NDCG and head HR, surpasses strongest original MiniOneRec SFT on NDCG@10, but still trails strongest original MiniOneRec RL on NDCG@10/HR@10 due to deeper retention gap."
sft_industrial_title_history2sid_off__desc_align_p05_20260325_192249,sft_eval,2026-03-25 22:30:31 CST,industrial,Industrial_and_Scientific,title_history2sid_off__desc_align_p05,tok_industrial_original_semantic,original_semantic_industrial,original_semantic,title_history2sid_off+desc_align_p05,0.06706375,0.08500848,0.09315326,0.10372025,0.06706375,0.09838959,0.11824399,0.15089345,0.24531216,4533,0,./results/final_result_sft_Industrial_and_Scientific_title_history2sid_off__desc_align_p05_20260325_192249.json,./output/sft_Industrial_and_Scientific_title_history2sid_off__desc_align_p05_20260325_192249/final_checkpoint,Industrial SFT baseline with TitleHistory2SidSFTDataset disabled and description alignment enabled at probability 0.5
rl_industrial_title_history2sid_off__desc_align_p05_20260327_125414,rl_eval,-,industrial,Industrial_and_Scientific,title_history2sid_off__desc_align_p05,tok_industrial_original_semantic,original_semantic_industrial,original_semantic,title_history2sid_off+desc_align_p05,0.07191705,0.08462776,0.09362596,0.10332957,0.07191705,0.09375689,0.11581734,0.14559894,0.22501655,4533,-,./results/final_result_rl_Industrial_and_Scientific_title_history2sid_off__desc_align_p05_20260327_125414.json,./output/rl_Industrial_and_Scientific_title_history2sid_off__desc_align_p05_20260327_125414__weights_moved_to_data/final_checkpoint,"RL hyperparameters backfilled from launch log; grad_accum=8, world_size=4, bf16, num_generations=16 are explicit. Per-device RL batch and effective_global_batch remain unknown."
sft_industrial_mgr_tokenizer_v2_title_on_desc_p05_20260411_191025,sft_eval,2026-04-11 22:42:02 CST,industrial,Industrial_and_Scientific,mgr_tokenizer_v2_title_on_desc_p05,tok_industrial_mgr_tokenizer_v2_offline,mgr_tokenizer_v2_offline,mgr_v2,title_history2sid_on+desc_align_p05,0.07059343,0.08451223,0.09253300,0.10270767,0.07059343,0.09508052,0.11471432,0.14626075,0.24818001,4533,0,./results/experiments/mgr_sid_v2_recipe_isolation_industrial_20260411/final_result_sft_mgr_tokenizer_v2_title_on_desc_p05_Industrial_and_Scientific.json,/data/leejt/OneRec/output_weights/experiments/mgr_sid_v2_recipe_isolation_20260411/title_on_desc_p05/sft/final_checkpoint,"Industrial v2 recipe isolation run (title_history2sid_on + desc_align_p05); 4-GPU torchrun SFT and 4-GPU parallel evaluate; best current v2 downstream recipe, improves over v2 noalign and nearly matches strongest original MiniOneRec SFT while keeping title_history2sid enabled."
rl_industrial_title_history2sid_off__desc_align_off_mb4_20260326_130556,rl_eval,-,industrial,Industrial_and_Scientific,title_history2sid_off__desc_align_off_mb4,tok_industrial_original_semantic,original_semantic_industrial,original_semantic,title_history2sid_off+desc_align_off,0.06904919,0.08397641,0.09172182,0.10220659,0.06904919,0.09485992,0.11383190,0.14648136,0.22898743,4533,-,./results/final_result_rl_Industrial_and_Scientific_title_history2sid_off__desc_align_off_mb4_20260326_130556.json,./output/rl_Industrial_and_Scientific_title_history2sid_off__desc_align_off_mb4_20260326_130556__weights_moved_to_data/final_checkpoint,RL hyperparameters backfilled from launch log; train_batch_size/effective_global_batch inferred from variant suffix mb4 plus logged DeepSpeed grad_accum=8.
legacy_sft_industrial_refactor_align,sft_eval,-,industrial,Industrial_and_Scientific,title_history2sid_on__desc_align_p05,tok_industrial_original_semantic,original_semantic_industrial,original_semantic,title_history2sid_on+desc_align_p05,0.06860799,0.08416813,0.09054808,0.10182815,0.06860799,0.09574233,0.11118465,0.14626075,0.24244430,4533,0,./results/recovered_legacy/final_result_sft_Industrial_and_Scientific_refactor_align.json,./output/sft_Industrial_and_Scientific_refactor_align/final_checkpoint,wandb_run=run-20260317_131024-rt0adgvv;output_dir=sft_Industrial_and_Scientific_refactor_align;code_window=4657693-era; output_dir_reused_4_times_follow_latest_wandb
sft_industrial_mgr_tokenizer_v2_offline_20260411_024035,sft_eval,2026-04-11 05:57:30 CST,industrial,Industrial_and_Scientific,mgr_tokenizer_v2_offline,tok_industrial_mgr_tokenizer_v2_offline,mgr_tokenizer_v2_offline,mgr_v2,title_history2sid_on+desc_align_off,0.07037282,0.08393183,0.09052913,0.10081912,0.07037282,0.09419810,0.11030223,0.14251048,0.24288551,4533,0,./results/experiments/mgr_sid_v2_sft_eval_industrial_20260411/final_result_sft_mgr_tokenizer_v2_offline_Industrial_and_Scientific.json,./output/experiments/mgr_sid_v2_sft_eval_industrial_20260411/mgr_tokenizer_v2_offline/sft/final_checkpoint,Industrial MGR-SID v2 offline-combined tokenizer on data_experiment; 4-GPU torchrun SFT and 4-GPU parallel evaluate; beats MiniOneRec baseline at all reported cutoffs
sft_industrial_mgr_stage2_r202a_title_on_desc_p05_20260413_064109,sft_eval,2026-04-13 06:41:09 CST,industrial,Industrial_and_Scientific,mgr_stage2_r202a_title_on_desc_p05,tok_industrial_stage2_r202a_stopgrad,stage2_r202a_stopgrad,stage2_retention,title_history2sid_on+desc_align_p05,0.06551952,0.0835982,0.0904532,0.09973721,0.06551952,0.09728657,0.1138319,0.14251048,0.23737039,4533,0,./results/experiments/mgr_sid_stage2_r202a_sft_eval_industrial_20260413/final_result_sft_mgr_stage2_r202a_title_on_desc_p05_Industrial_and_Scientific.json,/data/leejt/OneRec/output_weights/experiments/mgr_sid_stage2_r202a_sft_eval_20260413/title_on_desc_p05/sft/final_checkpoint,Industrial stage-2 R208 run: R202a stop-grad tokenizer -> title_history2sid_on + desc_align_p05 SFT/evaluate; 4-GPU torchrun SFT and 4-GPU parallel evaluate; useful downstream screen for the current Block-2 winner while R205 is still running.
sft_industrial_mgr_collab_ranking_local_multihop_mid_title_on_desc_p05_20260419_124943,sft_eval,2026-04-19 15:46:17 CST,industrial,Industrial_and_Scientific,mgr_collab_ranking_local_multihop_mid_title_on_desc_p05,tok_industrial_collab_ranking_local_multihop_mid,collab_ranking_local_multihop_mid,mgr_collab_ranking,title_history2sid_on+desc_align_p05,0.06926980,0.08363504,0.08997465,0.09940224,0.06926980,0.09441871,0.11008162,0.13942202,0.24001765,4533,0,./results/experiments/mgr_sid_collab_ranking_local_multihop_mid_sft_eval_20260419/final_result_sft_mgr_collab_ranking_local_multihop_mid_title_on_desc_p05_Industrial_and_Scientific.json,/data/leejt/OneRec/output_weights/experiments/mgr_sid_collab_ranking_local_multihop_mid_sft_eval_20260419/title_on_desc_p05/sft/final_checkpoint,"R720b local_multihop（局部多跳） mid-graph replacement（中层图替换） is a clear gain over R720a on downstream SFT（下游监督微调）, but still below v2_on_p05（当前 v2_on_p05） and strongest original SFT（原版最强监督微调）; not promotable to RL（强化学习） yet."
