bucket,size,purity,family_mix
<a_224>,191,0.612565445026178,"{'fastener': 117, 'other': 59, 'gauge_meter': 8, 'tape': 4, '3d_filament': 3}"
<a_108>,143,0.6083916083916084,"{'connector_fitting': 87, 'other': 48, 'gauge_meter': 5, 'ventilation_fan': 2, 'fastener': 1}"
<a_73>,114,0.7105263157894737,"{'other': 81, 'connector_fitting': 20, 'gauge_meter': 5, 'tape': 4, 'adhesive_epoxy': 2, 'fastener': 1, 'ventilation_fan': 1}"
<a_158>,109,0.5596330275229358,"{'3d_filament': 61, 'other': 31, 'gauge_meter': 6, 'connector_fitting': 5, 'ventilation_fan': 4, 'fastener': 1, 'tape': 1}"
<a_42>,100,0.48,"{'other': 48, 'gauge_meter': 42, 'fastener': 10}"
<a_17>,99,0.5959595959595959,"{'other': 59, 'gauge_meter': 25, 'fastener': 5, 'connector_fitting': 4, 'tape': 2, '3d_filament': 2, 'test_strip': 2}"
<a_228>,96,0.5729166666666666,"{'other': 55, 'gauge_meter': 17, 'connector_fitting': 11, 'adhesive_epoxy': 9, 'tape': 2, 'ventilation_fan': 2}"
<a_251>,92,0.6630434782608695,"{'other': 61, 'gauge_meter': 29, 'connector_fitting': 1, '3d_filament': 1}"
<a_244>,72,0.7083333333333334,"{'other': 51, 'adhesive_epoxy': 13, 'tape': 6, 'ventilation_fan': 2}"
<a_91>,72,0.7083333333333334,"{'3d_filament': 51, 'other': 20, 'tape': 1}"
<a_68>,67,0.5074626865671642,"{'other': 34, 'tape': 18, 'fastener': 8, 'ventilation_fan': 3, 'adhesive_epoxy': 3, 'gauge_meter': 1}"
<a_107>,66,0.5757575757575758,"{'gauge_meter': 38, 'other': 23, 'test_strip': 2, '3d_filament': 2, 'ventilation_fan': 1}"
<a_79>,60,0.5166666666666667,"{'other': 31, 'tape': 15, 'adhesive_epoxy': 5, '3d_filament': 5, 'connector_fitting': 2, 'ventilation_fan': 2}"
<a_206>,60,0.5666666666666667,"{'other': 34, 'tape': 12, 'gauge_meter': 7, 'adhesive_epoxy': 2, 'connector_fitting': 1, '3d_filament': 1, 'metadata_placeholder': 1, 'ventilation_fan': 1, 'fastener': 1}"
<a_104>,60,0.6333333333333333,"{'gauge_meter': 38, 'other': 19, '3d_filament': 1, 'fastener': 1, 'tape': 1}"
<a_197>,60,0.7,"{'other': 42, '3d_filament': 7, 'gauge_meter': 4, 'fastener': 2, 'adhesive_epoxy': 2, 'connector_fitting': 2, 'ventilation_fan': 1}"
<a_36>,54,0.5925925925925926,"{'other': 32, 'gauge_meter': 21, 'ventilation_fan': 1}"
<a_159>,52,0.6346153846153846,"{'other': 33, 'fastener': 7, '3d_filament': 4, 'connector_fitting': 3, 'gauge_meter': 3, 'tape': 1, 'ventilation_fan': 1}"
<a_23>,50,0.54,"{'other': 27, 'connector_fitting': 9, '3d_filament': 5, 'gauge_meter': 5, 'fastener': 3, 'ventilation_fan': 1}"
<a_211>,45,0.6888888888888889,"{'other': 31, 'gauge_meter': 6, 'connector_fitting': 5, '3d_filament': 3}"
<a_109>,40,0.725,"{'other': 29, 'ventilation_fan': 8, 'fastener': 3}"
<a_229>,36,0.7222222222222222,"{'other': 26, 'gauge_meter': 9, '3d_filament': 1}"
<a_122>,35,0.42857142857142855,"{'tape': 15, 'other': 14, 'adhesive_epoxy': 6}"
<a_99>,32,0.5625,"{'other': 18, 'adhesive_epoxy': 14}"
<a_170>,25,0.68,"{'other': 17, 'tape': 4, 'ventilation_fan': 3, 'adhesive_epoxy': 1}"
<a_233>,20,0.5,"{'tape': 10, 'adhesive_epoxy': 6, 'metadata_placeholder': 2, '3d_filament': 2}"
<a_153>,17,0.6470588235294118,"{'other': 11, 'gauge_meter': 6}"
