idx,user_id,item_id,item_title,family,brand,target_sid,target_l1,target_l2,target_l1_bucket_size,target_l2_bucket_size,target_l1_family_purity,target_l2_family_purity,target_l1_dominant_family,target_l2_dominant_family,history_len,target_l1_in_history,target_l2_in_history,rank,rank_found,hit1,hit3,hit5,hit10,hit20,hit50,ndcg10,ndcg50,top1_sid,top1_item_repr,top1_item_titles,top1_families,top1_brands,top1_same_l1,top1_same_l2,top1_same_family,top1_same_brand,top1_history_repeat,top10_history_repeat_count,top50_history_repeat_count,top10_has_target_l1,top10_has_target_l2,top50_has_target_l1,top50_has_target_l2,failure_type_at10,top5_predictions
0,A6948,3681,3D Solutech Real Orange 1.75mm ABS 3D Printer Filament 2.2 LBS (1.0KG),3d_filament,3D Solutech,<a_223><b_80><c_216>,<a_223>,<a_223><b_80>,247,24,0.9676113360323887,1.0,3d_filament,3d_filament,10,1,1,999,0,0,0,0,0,0,0,0.0,0.0,<a_223><b_86><c_176>,2544,"SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm",3d_filament,SainSmart,1,0,1,0,1,1,2,1,0,1,1,l2_routing_miss_after_l1_hit,<a_223><b_86><c_176> || <a_223><b_160><c_251> || <a_223><b_72><c_76> || <a_223><b_72><c_209> || <a_223><b_126><c_0>
1,A474,278,"T-Rex 241309 Shurtech Ferociously Strong Tape, 12 Yd L X 1.88 in W, 1-Roll, 12 Yards, Gunmetal Gray",tape,T-Rex,<a_202><b_118><c_74>,<a_202>,<a_202><b_118>,117,1,0.5470085470085471,1.0,adhesive_epoxy,tape,1,1,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_202><b_147><c_0>,168,"Scotch Super 33+ Vinyl Electrical Tape, 3/4 in x 66 ft",tape,3M,1,0,1,0,1,1,1,1,0,1,0,l2_routing_miss_after_l1_hit,<a_202><b_147><c_0> || <a_107><b_93><c_0> || <a_202><b_215><c_194> || <a_165><b_107><c_20> || <a_104><b_186><c_66>
2,A474,719,"Gorilla Heavy Duty Construction Adhesive, 2.5 ounce Squeeze Tube, White",adhesive_epoxy,Gorilla,<a_99><b_53><c_168>,<a_99>,<a_99><b_53>,32,1,0.53125,1.0,adhesive_epoxy,adhesive_epoxy,2,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_202><b_52><c_171>,130,"Gorilla Tape, Black Duct Tape, 1.88"" x 35 yd, Black, (Pack of 1)",adhesive_epoxy,Gorilla,0,0,1,1,0,1,1,0,0,0,0,l1_routing_miss,<a_202><b_52><c_171> || <a_107><b_93><c_0> || <a_202><b_52><c_122> || <a_122><b_52><c_0> || <a_202><b_52><c_132>
3,A474,1526,Genova Products 31410CP 1-Inch PVC Pipe Tee - 10 Pack,connector_fitting,Genova,<a_108><b_81><c_52>,<a_108>,<a_108><b_81>,143,1,0.5384615384615384,1.0,connector_fitting,connector_fitting,3,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_165><b_52><c_74>,172,"Gorilla Super Glue Gel, 15 Gram, Clear",adhesive_epoxy,Gorilla,0,0,0,0,0,1,1,0,0,0,0,l1_routing_miss,<a_165><b_52><c_74> || <a_165><b_59><c_69> || <a_202><b_52><c_171> || <a_99><b_53><c_168> || <a_165><b_214><c_30>
4,A617,658,Stanley R120 Rivet Pack Assortment,fastener,Stanley,<a_224><b_76><c_250>,<a_224>,<a_224><b_76>,191,1,0.7329842931937173,1.0,fastener,fastener,10,1,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_224><b_81><c_180>,37,"The Hillman Group 591521 Small Flat and Lock Washer Assortment, 270-Pack",fastener,Hillman,1,0,1,0,1,2,6,1,0,1,0,l2_routing_miss_after_l1_hit,<a_224><b_81><c_180> || <a_42><b_251><c_149> || <a_224><b_81><c_234> || <a_165><b_107><c_20> || <a_71><b_242><c_21>
5,A1062,103,"Osborn International 75116SP Steel File Card, 3-3/4"" Brush Area Length",other,Osborn International,<a_180><b_106><c_10>,<a_180>,<a_180><b_106>,81,1,0.8888888888888888,1.0,other,other,10,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_87><b_238><c_111>,1345,POWERTEC 17000 Workbench Caster Kit (Pack of 4),other,POWERTEC,0,0,1,0,1,3,5,0,0,0,0,l1_routing_miss,<a_87><b_238><c_111> || <a_87><b_0><c_203> || <a_87><b_44><c_247> || <a_87><b_161><c_199> || <a_87><b_196><c_123>
6,A1119,266,"iGaging ABSOLUTE ORIGIN 0-6"" Digital Electronic Caliper - IP54 Protection/Extreme Accuracy",gauge_meter,iGaging,<a_104><b_60><c_152>,<a_104>,<a_104><b_60>,60,1,0.5,1.0,other,gauge_meter,7,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_224><b_163><c_184>,3,"Kreg SML-C125-500 1-1/4-Inch #8 Coarse Pocket Hole Screws with Washer-Head, 500-Pack",fastener,Kreg,0,0,0,0,1,3,4,0,0,0,0,l1_routing_miss,<a_224><b_163><c_184> || <a_224><b_163><c_205> || <a_224><b_172><c_198> || <a_193><b_113><c_101> || <a_197><b_57><c_227>
7,A1698,675,J-B Weld 8265S Original Cold-Weld Steel Reinforced Epoxy - 2 oz.,adhesive_epoxy,J-B Weld,<a_165><b_59><c_69>,<a_165>,<a_165><b_59>,72,4,0.8055555555555556,1.0,adhesive_epoxy,adhesive_epoxy,9,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_71><b_114><c_136>,2451,"Round Spacer, Nylon, Off-White, 0.194"" ID, 3/4"" Length, Made in US (Pack of 100)",fastener,Small Parts,0,0,0,0,1,2,4,0,0,0,0,l1_routing_miss,<a_71><b_114><c_136> || <a_71><b_44><c_249> || <a_67><b_1><c_191> || <a_67><b_1><c_199> || <a_17><b_80><c_8>
8,A5139,511,"Nicholson 06706N Axe File, 8-Inch",other,Nicholson,<a_193><b_240><c_215>,<a_193>,<a_193><b_240>,133,3,0.8045112781954887,0.6666666666666666,other,other,4,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_150><b_137><c_84>,853,"Rubbermaid Professional Plus Heavy-Duty Spray Bottle,32 fl OZ (946ml), (FG6C13PR06)",3d_filament,Rubbermaid,0,0,0,0,0,2,3,0,0,0,0,l1_routing_miss,<a_150><b_137><c_84> || <a_210><b_12><c_10> || <a_150><b_14><c_0> || <a_15><b_135><c_68> || <a_68><b_71><c_239>
9,A5259,1391,"Seek Thermal Reveal Thermal Imaging Camera and LED Light, Blue",other,Seek Thermal,<a_107><b_104><c_143>,<a_107>,<a_107><b_104>,66,1,0.7575757575757576,1.0,gauge_meter,other,7,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_94><b_35><c_31>,148,"Plastic Transfer Pipettes 3ml, Graduated, Pack of 100",other,Pipettes,0,0,1,0,0,1,3,1,0,1,0,l2_routing_miss_after_l1_hit,<a_94><b_35><c_31> || <a_206><b_99><c_1> || <a_14><b_246><c_237> || <a_210><b_12><c_10> || <a_229><b_99><c_27>
10,A5867,2253,"CS Hyde High Temperature Fiberglass Tape With Silicone Adhesive, Ivory 1/2 inch x 36 yards",adhesive_epoxy,CS Hyde,<a_233><b_86><c_124>,<a_233>,<a_233><b_86>,20,1,0.6,1.0,adhesive_epoxy,adhesive_epoxy,5,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_223><b_86><c_176>,2544,"SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm",3d_filament,SainSmart,0,0,0,0,0,1,3,0,0,0,0,l1_routing_miss,<a_223><b_86><c_176> || <a_158><b_245><c_180> || <a_223><b_144><c_16> || <a_223><b_126><c_0> || <a_223><b_232><c_186>
11,A6006,450,"X-Treme Tape TPE-X36ZLB Silicone Rubber Self Fusing Tape, 1"" x 36', Triangular, Black",tape,X-Treme Tape,<a_202><b_198><c_80>,<a_202>,<a_202><b_198>,117,10,0.5470085470085471,1.0,adhesive_epoxy,tape,4,1,1,999,0,0,0,0,0,0,0,0.0,0.0,<a_173><b_93><c_136>,74,"Hot Max 27050 Tap Magic Cutting Fluid, 4 oz.",other,Hot Max,0,0,0,0,0,2,3,1,1,1,1,leaf_or_ranking_miss_after_l2_hit,<a_173><b_93><c_136> || <a_173><b_93><c_124> || <a_107><b_93><c_0> || <a_173><b_23><c_3> || <a_173><b_23><c_0>
12,A6172,59,Loctite Ultra Gel Control Super Glue 4-Gram (1363589),adhesive_epoxy,Loctite,<a_165><b_214><c_30>,<a_165>,<a_165><b_214>,72,2,0.8055555555555556,1.0,adhesive_epoxy,adhesive_epoxy,5,1,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_68><b_121><c_117>,1840,TapeCase 3430 0.75in X 5yd White Reflective Tape (1 Roll),tape,TapeCase,0,0,0,0,1,2,2,0,0,0,0,l1_routing_miss,<a_68><b_121><c_117> || <a_68><b_121><c_203> || <a_68><b_121><c_7> || <a_107><b_90><c_50> || <a_68><b_121><c_4>
13,A6498,1374,HHIP 4401-0811 Mini Universal Magnetic Base with Fine,other,HHIP,<a_104><b_85><c_106>,<a_104>,<a_104><b_85>,60,1,0.5,1.0,other,other,3,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_24><b_91><c_4>,2352,iRobot Roomba 870 Robotic Vacuum Cleaner,other,iRobot,0,0,1,0,0,1,2,0,0,0,0,l1_routing_miss,<a_24><b_91><c_4> || <a_24><b_170><c_144> || <a_107><b_93><c_0> || <a_197><b_91><c_144> || <a_24><b_91><c_61>
14,A7420,3340,"E-Projects 25EP514150R 150 Ohm Resistors, 1/4 W, 5% (Pack of 25)",tape,E-Projects,<a_73><b_10><c_6>,<a_73>,<a_73><b_10>,114,4,0.5350877192982456,1.0,other,tape,8,1,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_224><b_81><c_180>,37,"The Hillman Group 591521 Small Flat and Lock Washer Assortment, 270-Pack",fastener,Hillman,0,0,0,0,0,1,1,1,0,1,0,l2_routing_miss_after_l1_hit,<a_224><b_81><c_180> || <a_73><b_8><c_168> || <a_224><b_146><c_29> || <a_73><b_9><c_0> || <a_224><b_114><c_148>
15,A300,352,General Tools 1261-4 1/2-Inch Grommet Refill with 24 Grommets,other,General Tools Mfg Co In,<a_71><b_70><c_24>,<a_71>,<a_71><b_70>,118,4,0.6271186440677966,0.75,other,other,3,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_202><b_100><c_73>,23,"Gardner Bender 07315001126 LTB-400 Liquid Electrical Tape, Easy-on, Waterproof, Indoor/Outdoor Use, 4 Oz. Jar, Black, Bottle",adhesive_epoxy,Gardner Bender,0,0,0,0,1,3,3,0,0,1,0,l1_routing_miss,<a_202><b_100><c_73> || <a_165><b_59><c_69> || <a_165><b_59><c_20> || <a_165><b_159><c_154> || <a_107><b_93><c_0>
16,A300,516,"100pc 1/4"" Grommets Eyelets for Clothes, Leather, Canvas - Self-Backing",other,ProTool,<a_71><b_127><c_119>,<a_71>,<a_71><b_127>,118,2,0.6271186440677966,1.0,other,other,4,1,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_107><b_93><c_0>,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator || AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,AcuRite,0,0,0,0,0,3,4,1,0,1,0,l2_routing_miss_after_l1_hit,<a_107><b_93><c_0> || <a_202><b_100><c_73> || <a_107><b_133><c_57> || <a_165><b_59><c_69> || <a_107><b_90><c_50>
17,A2094,152,"Camco 4ft TastePURE Drinking Water Hose - Lead and BPA Free, Reinforced for Maximum Kink Resistance,  1/2""Inner Diameter (22763)",connector_fitting,Camco,<a_228><b_113><c_68>,<a_228>,<a_228><b_113>,96,1,0.5625,1.0,other,connector_fitting,10,1,0,38,1,0,0,0,0,0,1,0.0,0.18920035951687003,<a_228><b_187><c_137>,399,Anytime Tools 48 pc HEAT SHRINK TUBING WRAP SLEEVES ASSORTED SIZES,other,Anytime Tools,1,0,0,0,1,2,4,1,0,1,1,l2_routing_miss_after_l1_hit,<a_228><b_187><c_137> || <a_210><b_171><c_62> || <a_73><b_231><c_56> || <a_228><b_45><c_18> || <a_228><b_137><c_88>
18,A2094,1080,"PYREX 2L Narrow Mouth Erlenmeyer Flasks with Heavy Duty Rim, 1/pk",other,Pyrex,<a_94><b_195><c_69>,<a_94>,<a_94><b_195>,111,7,0.7747747747747747,0.8571428571428571,other,other,10,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_228><b_113><c_68>,152,"Camco 4ft TastePURE Drinking Water Hose - Lead and BPA Free, Reinforced for Maximum Kink Resistance,  1/2""Inner Diameter (22763)",connector_fitting,Camco,0,0,0,0,1,3,4,0,0,0,0,l1_routing_miss,<a_228><b_113><c_68> || <a_210><b_171><c_62> || <a_228><b_187><c_137> || <a_228><b_45><c_149> || <a_73><b_231><c_56>
19,A2177,326,J-B Weld 8276 KwikWeld Quick Setting Steel Reinforced Epoxy - 2 oz.,adhesive_epoxy,J-B Weld,<a_165><b_59><c_20>,<a_165>,<a_165><b_59>,72,4,0.8055555555555556,1.0,adhesive_epoxy,adhesive_epoxy,3,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_210><b_239><c_121>,812,ShipGuard 600 Ziplock Bags 6 Assorted Sizes Clear 2MIL baggies1.5x2 2x2 2x3 3x3 3x4 3x5,other,ShipGuard,0,0,0,0,1,2,2,0,0,1,1,l1_routing_miss,<a_210><b_239><c_121> || <a_122><b_126><c_5> || <a_210><b_231><c_0> || <a_210><b_230><c_246> || <a_210><b_219><c_8>
20,A2177,1098,J-B Weld 50112 ClearWeld Quick-Setting Epoxy Syringe - Dries Clear - 25 ml,adhesive_epoxy,J-B Weld,<a_165><b_159><c_154>,<a_165>,<a_165><b_159>,72,1,0.8055555555555556,1.0,adhesive_epoxy,adhesive_epoxy,4,1,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_165><b_59><c_69>,675,J-B Weld 8265S Original Cold-Weld Steel Reinforced Epoxy - 2 oz.,adhesive_epoxy,J-B Weld,1,0,1,1,0,1,2,1,0,1,0,l2_routing_miss_after_l1_hit,<a_165><b_59><c_69> || <a_122><b_126><c_5> || <a_109><b_58><c_144> || <a_107><b_93><c_0> || <a_71><b_242><c_21>
21,A2571,1305,"RMP .125 3003 H14 Aluminum Sheet 12"" x 12",other,RMP,<a_251><b_111><c_10>,<a_251>,<a_251><b_111>,92,2,0.6956521739130435,1.0,other,other,2,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_165><b_247><c_68>,57,"Gorilla 2 Part Epoxy, 5 Minute Set, .85 ounce Syringe, Clear",adhesive_epoxy,Gorilla,0,0,0,0,0,2,2,0,0,0,0,l1_routing_miss,<a_165><b_247><c_68> || <a_165><b_59><c_69> || <a_15><b_155><c_49> || <a_79><b_24><c_40> || <a_79><b_85><c_92>
22,A2890,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,AcuRite,<a_107><b_93><c_0>,<a_107>,<a_107><b_93>,66,2,0.7575757575757576,1.0,gauge_meter,gauge_meter,4,0,0,13,1,0,0,0,0,1,1,0.0,0.26264953503719357,<a_68><b_98><c_239>,151,"Monoprice Hook & Loop Fastening Tape 5 yard/roll, 0.75-inch - Blue (105830)",tape,Monoprice,0,0,0,0,1,2,2,0,0,1,1,l1_routing_miss,<a_68><b_98><c_239> || <a_104><b_186><c_115> || <a_244><b_0><c_0> || <a_173><b_194><c_0> || <a_244><b_0><c_2>
23,A2890,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,AcuRite,<a_107><b_93><c_0>,<a_107>,<a_107><b_93>,66,2,0.7575757575757576,1.0,gauge_meter,gauge_meter,5,1,1,1,1,1,1,1,1,1,1,1.0,1.0,<a_107><b_93><c_0>,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator || AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,AcuRite,1,1,1,1,1,2,4,1,1,1,1,hit10,<a_107><b_93><c_0> || <a_68><b_98><c_239> || <a_244><b_0><c_0> || <a_244><b_0><c_2> || <a_173><b_93><c_124>
24,A2890,182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,AcuRite,<a_107><b_93><c_0>,<a_107>,<a_107><b_93>,66,2,0.7575757575757576,1.0,gauge_meter,gauge_meter,6,1,1,1,1,1,1,1,1,1,1,1.0,1.0,<a_107><b_93><c_0>,181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator || AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,AcuRite,1,1,1,1,1,2,2,1,1,1,1,hit10,<a_107><b_93><c_0> || <a_68><b_98><c_239> || <a_109><b_74><c_57> || <a_244><b_0><c_0> || <a_244><b_0><c_2>
25,A3799,3287,Pomona 1296 BNC (M) Binding Posts,other,Pomona,<a_170><b_226><c_111>,<a_170>,<a_170><b_226>,25,1,0.6,1.0,other,other,4,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_73><b_9><c_0>,502,Uxcell a10073000ux0031 2 Pcs 8 Position Double Row Screw Terminal Covered Barrier Strip 600V 25A,connector_fitting,uxcell,0,0,0,0,1,2,2,0,0,0,0,l1_routing_miss,<a_73><b_9><c_0> || <a_202><b_52><c_171> || <a_202><b_52><c_44> || <a_236><b_92><c_36> || <a_107><b_90><c_50>
26,A4404,2899,"Dynatex 49582 Industrial Copper Anti-Seize and Lubricating Compound Paste, 8 oz Brush Top Bottle, Dark Copper",connector_fitting,Dynatex,<a_173><b_86><c_176>,<a_173>,<a_173><b_86>,64,1,0.75,1.0,other,connector_fitting,7,1,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_202><b_62><c_182>,116,Rescue Tape RT1000201202USCO,tape,Rescue Tape,0,0,0,0,0,1,3,1,0,1,0,l2_routing_miss_after_l1_hit,<a_202><b_62><c_182> || <a_173><b_93><c_124> || <a_173><b_201><c_145> || <a_202><b_62><c_214> || <a_173><b_181><c_125>
27,A4750,749,"BSI Bob Smith 152 Insta Set Accelerator, 8 oz.",other,BSI,<a_99><b_170><c_176>,<a_99>,<a_99><b_170>,32,1,0.53125,1.0,adhesive_epoxy,other,3,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_224><b_77><c_43>,914,"The Hillman Group 591518 Small Machine Screws with Nuts Assortment, 195-Pack",fastener,Hillman,0,0,0,0,0,2,2,0,0,0,0,l1_routing_miss,<a_224><b_77><c_43> || <a_224><b_17><c_207> || <a_122><b_121><c_22> || <a_224><b_88><c_115> || <a_224><b_153><c_5>
28,A4750,749,"BSI Bob Smith 152 Insta Set Accelerator, 8 oz.",other,BSI,<a_99><b_170><c_176>,<a_99>,<a_99><b_170>,32,1,0.53125,1.0,adhesive_epoxy,other,4,1,1,1,1,1,1,1,1,1,1,1.0,1.0,<a_99><b_170><c_176>,749,"BSI Bob Smith 152 Insta Set Accelerator, 8 oz.",other,BSI,1,1,1,1,1,2,2,1,1,1,1,hit10,<a_99><b_170><c_176> || <a_224><b_153><c_5> || <a_224><b_17><c_207> || <a_224><b_88><c_115> || <a_224><b_1><c_67>
29,A6672,1392,Pomona 4970 Bnc (M) with 20 Awg Leads,connector_fitting,Pomona,<a_170><b_228><c_53>,<a_170>,<a_170><b_228>,25,1,0.6,1.0,other,connector_fitting,2,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_180><b_221><c_210>,2977,"Heathrow Scientific HD15906 Hayman-Type Spatula with Flat End and Spoon End, 6-1/4"" Overall Length",other,Heathrow Scientific,0,0,0,0,1,1,1,0,0,0,0,l1_routing_miss,<a_180><b_221><c_210> || <a_180><b_221><c_238> || <a_193><b_113><c_101> || <a_107><b_93><c_0> || <a_165><b_221><c_145>
30,A6672,2175,Pomona 3788 Bnc (F) to Minigrabber Test Clips,other,Pomona,<a_170><b_208><c_80>,<a_170>,<a_170><b_208>,25,1,0.6,1.0,other,other,3,1,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_180><b_221><c_210>,2977,"Heathrow Scientific HD15906 Hayman-Type Spatula with Flat End and Spoon End, 6-1/4"" Overall Length",other,Heathrow Scientific,0,0,1,0,1,1,1,0,0,0,0,l1_routing_miss,<a_180><b_221><c_210> || <a_94><b_166><c_155> || <a_94><b_35><c_31> || <a_94><b_195><c_193> || <a_94><b_36><c_130>
31,A6874,3550,Uxcell a12081400ux0273 10 x Momentary SPST NO Red Push Button Switch AC 250V/1.5A 125V/3A,other,uxcell,<a_236><b_35><c_44>,<a_236>,<a_236><b_35>,84,4,0.7380952380952381,0.75,other,other,6,0,0,999,0,0,0,0,0,0,0,0.0,0.0,<a_223><b_160><c_251>,2477,BAMtack! 1.75mm Black PLA 3D Printer Filament - 1kg (2.2 lbs) - Dimensional Accuracy +/- 0.03mm,3d_filament,BAMtack!,0,0,0,0,0,1,3,0,0,0,0,l1_routing_miss,<a_223><b_160><c_251> || <a_223><b_86><c_176> || <a_91><b_162><c_93> || <a_223><b_132><c_123> || <a_223><b_212><c_130>
32,A6893,2909,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",3d_filament,3D Solutech,<a_223><b_80><c_84>,<a_223>,<a_223><b_80>,247,24,0.9676113360323887,1.0,3d_filament,3d_filament,3,0,0,10,1,0,0,0,1,1,1,0.2890648263178879,0.2890648263178879,<a_158><b_138><c_227>,2513,2 Meters PTFE Teflon Bowden Tube 1.75 Filament 3D printer RepRap Rostock Kossel,3d_filament,DD-life,0,0,1,0,1,1,2,1,1,1,1,hit10,<a_158><b_138><c_227> || <a_91><b_105><c_64> || <a_223><b_86><c_176> || <a_158><b_72><c_88> || <a_223><b_242><c_216>
