family,n,orig_hit10_rate,orig_l1_in_history,sem_l1_in_history,delta_l1_in_history,orig_l2_in_history,sem_l2_in_history,delta_l2_in_history,orig_l1_purity,sem_l1_purity,delta_l1_purity,orig_l2_purity,sem_l2_purity,delta_l2_purity,orig_l1_bucket_size,sem_l1_bucket_size,orig_l2_bucket_size,sem_l2_bucket_size
other,1505,0.09102990033222591,0.25514950166112954,0.1867109634551495,-0.06843853820598006,0.07441860465116279,0.06843853820598006,-0.005980066445182724,0.7001915685762592,0.7220002839468669,0.02180871537060776,0.9627479829140959,0.9698259769023889,0.007077993988292992,91.26644518272425,44.285714285714285,2.3229235880398673,2.0119601328903656
3d_filament,1232,0.19318181818181818,0.6607142857142857,0.4902597402597403,-0.17045454545454544,0.32386363636363635,0.24675324675324675,-0.07711038961038962,0.8475310614429413,0.8522849756814234,0.004753914238482078,0.9819747217068644,0.9878633271490415,0.0058886054421768705,183.41396103896105,91.59172077922078,15.401785714285714,10.97646103896104
adhesive_epoxy,496,0.06653225806451613,0.2842741935483871,0.23387096774193547,-0.05040322580645161,0.07459677419354839,0.07258064516129033,-0.0020161290322580645,0.6611338681728698,0.6962629570198957,0.03512908884702573,0.8918010752688172,0.930779569892473,0.038978494623655914,80.125,57.61290322580645,2.534274193548387,2.153225806451613
gauge_meter,375,0.49066666666666664,0.48,0.4106666666666667,-0.06933333333333333,0.376,0.376,0.0,0.7069420072133998,0.7571221551354573,0.050180147922057446,0.9555682539682538,0.9843174603174603,0.028749206349206347,65.43466666666667,31.690666666666665,2.082666666666667,2.1493333333333333
connector_fitting,314,0.10191082802547771,0.3184713375796178,0.2229299363057325,-0.09554140127388536,0.07961783439490445,0.054140127388535034,-0.025477707006369428,0.5855299969592151,0.6304712907989997,0.04494129383978445,0.9244919623900515,0.946049438883834,0.021557476493782226,106.79299363057325,49.6687898089172,2.4012738853503186,1.9745222929936306
fastener,313,0.10543130990415335,0.3194888178913738,0.24281150159744408,-0.07667731629392971,0.1182108626198083,0.0926517571884984,-0.025559105431309903,0.6856218750211875,0.7418686476368552,0.0562467726156677,0.9026091586794461,0.9447816826411076,0.04217252396166134,122.08945686900958,42.92012779552716,2.757188498402556,1.8338658146964857
tape,238,0.08403361344537816,0.37815126050420167,0.2689075630252101,-0.1092436974789916,0.10504201680672269,0.07983193277310924,-0.025210084033613446,0.5722645666958481,0.593020021975679,0.020755455279830855,0.8842436974789916,0.9464985994397759,0.062254901960784315,106.5546218487395,56.4327731092437,3.4747899159663866,2.634453781512605
metadata_placeholder,30,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.7683870967741934,0.8166666666666667,0.048279569892473145,1.0,1.0,0.0,30.633333333333333,28.766666666666666,1.1333333333333333,1.0666666666666667
ventilation_fan,23,0.21739130434782608,0.2608695652173913,0.2608695652173913,0.0,0.17391304347826086,0.21739130434782608,0.043478260869565216,0.610733755009782,0.6650364723622617,0.0543027173524794,0.8260869565217391,1.0,0.17391304347826086,92.65217391304348,54.52173913043478,1.7391304347826086,2.3043478260869565
test_strip,7,0.2857142857142857,0.7142857142857143,0.2857142857142857,-0.42857142857142855,0.14285714285714285,0.0,-0.14285714285714285,0.7747747747747747,0.5769230769230768,-0.1978516978516979,0.7999999999999999,1.0,0.19999999999999996,111.0,52.0,5.0,3.0
