item_id,item_title,family,eval_count,orig_failure_type,orig_l1_in_history,sem_l1_in_history,orig_l2_in_history,sem_l2_in_history,orig_l1_bucket_size,sem_l1_bucket_size,orig_l2_bucket_size,sem_l2_bucket_size,orig_l1_purity,sem_l1_purity,orig_l2_purity,sem_l2_purity,orig_target_l1,sem_target_l1,orig_target_l2,sem_target_l2,delta_l1_hist,delta_l2_hist
562,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Black",3d_filament,29,l1_routing_miss,0.5172413793103449,0.3793103448275862,0.3448275862068966,0.27586206896551724,247,128,47,26,0.9676113360323887,1.0,1.0,1.0,<a_223>,<a_235>,<a_223><b_198>,<a_235><b_198>,-0.13793103448275867,-0.06896551724137934
2912,Inland 1.75mm Black PLA 3D Printer Filament - 1kg Spool (2.2 lbs),3d_filament,27,l1_routing_miss,0.18518518518518517,0.18518518518518517,0.14814814814814814,0.07407407407407407,109,105,19,20,0.5596330275229358,0.5428571428571428,1.0,1.0,<a_158>,<a_223>,<a_158><b_72>,<a_223><b_240>,0.0,-0.07407407407407407
2058,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Gray",3d_filament,25,leaf_or_ranking_miss_after_l2_hit,0.88,0.72,0.52,0.52,247,128,47,26,0.9676113360323887,1.0,1.0,1.0,<a_223>,<a_235>,<a_223><b_198>,<a_235><b_198>,-0.16000000000000003,0.0
181,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",gauge_meter,23,l1_routing_miss,0.0,0.0,0.0,0.0,66,14,2,2,0.7575757575757576,0.9285714285714286,1.0,1.0,<a_107>,<a_252>,<a_107><b_93>,<a_252><b_88>,0.0,0.0
1959,"Gorilla Super Glue Gel, 20 Gram, Clear",adhesive_epoxy,22,l1_routing_miss,0.45454545454545453,0.36363636363636365,0.0,0.18181818181818182,72,62,2,3,0.8055555555555556,0.7741935483870968,0.5,1.0,<a_165>,<a_175>,<a_165><b_210>,<a_175><b_78>,-0.09090909090909088,0.18181818181818182
84,Neiko 01409A Electronic Digital Caliper with Extra Large LCD Screen | 0 - 12 Inches | Inch/Fractions/Millimeter Conversion,gauge_meter,18,l1_routing_miss,0.05555555555555555,0.0,0.0,0.0,60,40,2,2,0.5,0.65,0.5,1.0,<a_104>,<a_77>,<a_104><b_186>,<a_77><b_103>,-0.05555555555555555,0.0
57,"Gorilla 2 Part Epoxy, 5 Minute Set, .85 ounce Syringe, Clear",adhesive_epoxy,16,l2_routing_miss_after_l1_hit,0.25,0.3125,0.0625,0.0625,72,62,1,1,0.8055555555555556,0.7741935483870968,1.0,1.0,<a_165>,<a_175>,<a_165><b_247>,<a_175><b_238>,0.0625,0.0
2161,"3D Solutech Natural Clear 1.75mm 3D Printer PLA Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament,16,l2_routing_miss_after_l1_hit,0.625,0.4375,0.125,0.125,247,128,24,24,0.9676113360323887,1.0,1.0,1.0,<a_223>,<a_235>,<a_223><b_80>,<a_235><b_202>,-0.1875,0.0
40,"Forney 20859 Cutting Fluid, Industrial Pro Tap Magic, 1-Gallon",other,15,l1_routing_miss,0.0,0.06666666666666667,0.0,0.0,64,61,2,2,0.75,0.7049180327868853,1.0,0.5,<a_173>,<a_112>,<a_173><b_93>,<a_112><b_227>,0.06666666666666667,0.0
338,"Etekcity Lasergrip 1080 Non-Contact Digital Laser Infrared Thermometer Temperature Gun -58~1022 (-50550), Yellow and Black",gauge_meter,15,l1_routing_miss,0.13333333333333333,0.06666666666666667,0.0,0.0,66,45,2,2,0.7575757575757576,0.4888888888888889,1.0,1.0,<a_107>,<a_35>,<a_107><b_90>,<a_35><b_182>,-0.06666666666666667,0.0
3016,"HATCHBOX 3D Printer Filament, Dimensional Accuracy +/- 0.03mm, 1.75 mm, 1 kg Spool, Wood",3d_filament,15,l2_routing_miss_after_l1_hit,0.8,0.7333333333333333,0.0,0.0,247,128,3,1,0.9676113360323887,1.0,0.6666666666666666,1.0,<a_223>,<a_235>,<a_223><b_201>,<a_235><b_221>,-0.06666666666666676,0.0
2697,"3D Solutech Real White 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament,15,leaf_or_ranking_miss_after_l2_hit,0.8,0.7333333333333333,0.5333333333333333,0.4666666666666667,247,128,24,24,0.9676113360323887,1.0,1.0,1.0,<a_223>,<a_235>,<a_223><b_80>,<a_235><b_202>,-0.06666666666666676,-0.06666666666666665
3112,"3D Solutech Real Black 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175RBLK",3d_filament,15,l2_routing_miss_after_l1_hit,0.6666666666666666,0.4,0.0,0.0,247,85,24,1,0.9676113360323887,0.9882352941176471,1.0,1.0,<a_223>,<a_66>,<a_223><b_80>,<a_66><b_154>,-0.2666666666666666,0.0
2734,Inland 1.75mm White PLA 3D Printer Filament - 1kg Spool (2.2 lbs),3d_filament,14,l1_routing_miss,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.14285714285714285,109,105,19,10,0.5596330275229358,0.5428571428571428,1.0,1.0,<a_158>,<a_223>,<a_158><b_72>,<a_223><b_63>,0.0,-0.14285714285714285
3522,"3D Solutech Real Blue 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - ST176BLPLA",3d_filament,14,leaf_or_ranking_miss_after_l2_hit,0.9285714285714286,0.7857142857142857,0.7857142857142857,0.35714285714285715,247,85,24,3,0.9676113360323887,0.9882352941176471,1.0,1.0,<a_223>,<a_66>,<a_223><b_80>,<a_66><b_63>,-0.1428571428571429,-0.42857142857142855
570,Bissell 9595A CleanView Bagless Vacuum with OnePass,other,14,l1_routing_miss,0.42857142857142855,0.21428571428571427,0.0,0.0,119,58,1,1,0.7142857142857143,0.6551724137931034,1.0,1.0,<a_24>,<a_44>,<a_24><b_132>,<a_44><b_17>,-0.21428571428571427,0.0
159,"Etekcity Lasergrip 774 Non-contact Digital Laser Infrared Thermometer Temperature Gun -58~ 716 (-50 ~ 380), Yellow and Black",gauge_meter,14,l2_routing_miss_after_l1_hit,0.42857142857142855,0.07142857142857142,0.07142857142857142,0.07142857142857142,66,45,2,2,0.7575757575757576,0.4888888888888889,1.0,1.0,<a_107>,<a_35>,<a_107><b_90>,<a_35><b_182>,-0.3571428571428571,0.0
2703,"eSUN 3D 1.75mm PETG Black Filament 1kg (2.2lb), PETG 3D Printer Filament, 1.75mm Solid Opaque Black",3d_filament,13,l2_routing_miss_after_l1_hit,0.6923076923076923,0.6153846153846154,0.07692307692307693,0.07692307692307693,247,128,10,8,0.9676113360323887,1.0,1.0,1.0,<a_223>,<a_235>,<a_223><b_126>,<a_235><b_18>,-0.07692307692307687,0.0
178,"Neiko 10194A Titanium Step Drill Bit, High Speed Steel | 1/4"" to 1-3/8"" | Total 10 Step Sizes",other,13,l1_routing_miss,0.23076923076923078,0.15384615384615385,0.0,0.0,191,53,3,3,0.7329842931937173,0.6037735849056604,1.0,1.0,<a_224>,<a_121>,<a_224><b_17>,<a_121><b_93>,-0.07692307692307693,0.0
59,Loctite Ultra Gel Control Super Glue 4-Gram (1363589),adhesive_epoxy,12,l1_routing_miss,0.5833333333333334,0.5833333333333334,0.16666666666666666,0.25,72,62,2,3,0.8055555555555556,0.7741935483870968,1.0,1.0,<a_165>,<a_175>,<a_165><b_214>,<a_175><b_162>,0.0,0.08333333333333334
114,"Super Glue 15187 Super Glue, 12-Pack",adhesive_epoxy,12,l1_routing_miss,0.16666666666666666,0.16666666666666666,0.0,0.0,72,62,2,1,0.8055555555555556,0.7741935483870968,1.0,1.0,<a_165>,<a_175>,<a_165><b_214>,<a_175><b_222>,0.0,0.0
164,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Green",3d_filament,12,leaf_or_ranking_miss_after_l2_hit,0.9166666666666666,0.75,0.16666666666666666,0.0,247,128,5,2,0.9676113360323887,1.0,1.0,1.0,<a_223>,<a_235>,<a_223><b_20>,<a_235><b_203>,-0.16666666666666663,-0.16666666666666666
2151,Signstek 3D Printer MK2 MK3 Heated Bed Tempered Borosilicate Glass Plate 213x200x3mm,3d_filament,12,l1_routing_miss,0.16666666666666666,0.0,0.0,0.0,72,22,2,1,0.9305555555555556,0.5,1.0,1.0,<a_91>,<a_206>,<a_91><b_115>,<a_206><b_167>,-0.16666666666666666,0.0
2210,"HHIP 8000-0001 2 Flute High Speed Steel End Mill Set, 6 Piece, 3/8"" Shank",other,11,l1_routing_miss,0.09090909090909091,0.0,0.0,0.0,133,53,1,1,0.8045112781954887,0.6037735849056604,1.0,1.0,<a_193>,<a_121>,<a_193><b_215>,<a_121><b_39>,-0.09090909090909091,0.0
3468,"3D Solutech Real Green 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament,11,l2_routing_miss_after_l1_hit,1.0,0.0,0.0,0.0,247,11,2,2,0.9676113360323887,0.45454545454545453,1.0,1.0,<a_223>,<a_129>,<a_223><b_246>,<a_129><b_41>,-1.0,0.0
2402,Elegoo EL-CP-003 3pcs MB-102 Breadboard 830 Point Solderless Prototype PCB Board Kit for Arduino Proto Shield Distribution Connecting Blocks,adhesive_epoxy,10,l1_routing_miss,0.3,0.2,0.0,0.0,114,35,1,2,0.5350877192982456,0.37142857142857144,1.0,0.5,<a_73>,<a_166>,<a_73><b_185>,<a_166><b_247>,-0.09999999999999998,0.0
139,DuPont Teflon Non-Stick,other,10,l1_routing_miss,0.1,0.0,0.0,0.0,60,73,2,6,0.4666666666666667,0.726027397260274,1.0,1.0,<a_197>,<a_17>,<a_197><b_204>,<a_17><b_206>,-0.1,0.0
266,"iGaging ABSOLUTE ORIGIN 0-6"" Digital Electronic Caliper - IP54 Protection/Extreme Accuracy",gauge_meter,10,l1_routing_miss,0.1,0.0,0.0,0.0,60,40,1,1,0.5,0.65,1.0,1.0,<a_104>,<a_77>,<a_104><b_60>,<a_77><b_177>,-0.1,0.0
1755,BIQU GT2 20Teeth 5mm Bore Aluminum Timing Belt Idler Pulley for 3D Printer 6mm Width Timing Belt (Pack of 5pcs),3d_filament,10,l1_routing_miss,0.2,0.1,0.0,0.0,52,28,1,1,0.5192307692307693,0.6428571428571429,1.0,1.0,<a_159>,<a_65>,<a_159><b_251>,<a_65><b_101>,-0.1,0.0
3475,"3D Solutech Real Orange 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament,10,leaf_or_ranking_miss_after_l2_hit,1.0,0.8,0.8,0.6,247,128,24,24,0.9676113360323887,1.0,1.0,1.0,<a_223>,<a_235>,<a_223><b_80>,<a_235><b_202>,-0.19999999999999996,-0.20000000000000007
130,"Gorilla Tape, Black Duct Tape, 1.88"" x 35 yd, Black, (Pack of 1)",adhesive_epoxy,10,l1_routing_miss,0.5,0.2,0.1,0.1,117,85,8,3,0.5470085470085471,0.5294117647058824,0.75,1.0,<a_202>,<a_18>,<a_202><b_52>,<a_18><b_128>,-0.3,0.0
2721,"3D Solutech Navy Blue 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament,10,l2_routing_miss_after_l1_hit,1.0,0.3,0.3,0.3,247,11,2,2,0.9676113360323887,0.45454545454545453,1.0,1.0,<a_223>,<a_129>,<a_223><b_246>,<a_129><b_41>,-0.7,0.0
2730,PTFE Teflon Bowden Tube for 1.75 Filament (2.0mm ID/4.0mm OD) &ndash; White Connector Tubing for 3D Printer - 2.0 Meters,3d_filament,10,l2_routing_miss_after_l1_hit,0.8,0.0,0.0,0.0,247,28,2,3,0.9676113360323887,0.9642857142857143,1.0,1.0,<a_223>,<a_23>,<a_223><b_147>,<a_23><b_94>,-0.8,0.0
2333,"eSUN 3D Printer CLEANING Filament 1.75mm Natural 0.1kg for all 1.75mm FDM 3D Printers, 1.75mm Cleaning",3d_filament,9,l1_routing_miss,0.0,0.4444444444444444,0.0,0.0,72,85,1,1,0.9305555555555556,0.9882352941176471,1.0,1.0,<a_91>,<a_66>,<a_91><b_162>,<a_66><b_27>,0.4444444444444444,0.0
