orig_target_l1,n,orig_hit10_rate,orig_family_mode,orig_l1_purity,mean_delta_l1_in_history,mean_delta_l2_in_history,mean_delta_l1_purity,mean_delta_l2_purity,top_sem_target_l1s
<a_223>,762,0.2532808398950131,3d_filament,0.9676113360323887,-0.2585301837270341,-0.09973753280839895,-0.005618333264668554,0.014435695538057743,<a_235>:486 || <a_66>:190 || <a_129>:26 || <a_141>:20 || <a_122>:13
<a_107>,297,0.6195286195286195,gauge_meter,0.7575757575757576,-0.06397306397306397,0.0,0.03589447347617285,0.008144941478274806,<a_252>:203 || <a_35>:53 || <a_51>:25 || <a_130>:15 || <a_77>:1
<a_158>,252,0.18253968253968253,3d_filament,0.5596330275229358,0.0,-0.07936507936507936,0.004292441727489688,0.018452380952380953,<a_223>:219 || <a_17>:28 || <a_5>:5
<a_202>,188,0.14361702127659576,adhesive_epoxy,0.5470085470085471,-0.1276595744680851,-0.06914893617021277,0.003164984333328216,0.03856382978723404,<a_18>:133 || <a_195>:30 || <a_24>:17 || <a_105>:7 || <a_29>:1
<a_224>,168,0.03571428571428571,fastener,0.7329842931937173,-0.13690476190476192,-0.017857142857142856,0.03857817269401581,0.06398809523809523,<a_121>:52 || <a_140>:43 || <a_86>:32 || <a_57>:12 || <a_19>:11
<a_165>,163,0.06134969325153374,adhesive_epoxy,0.8055555555555556,-0.04294478527607362,0.03680981595092025,-0.0003120555654783774,0.11247443762781188,<a_175>:124 || <a_254>:33 || <a_112>:5 || <a_29>:1
<a_193>,147,0.08843537414965986,other,0.8045112781954887,-0.10204081632653061,0.006802721088435374,-0.05527515691864671,0.060657596371882096,<a_85>:46 || <a_20>:45 || <a_121>:28 || <a_126>:12 || <a_44>:6
<a_17>,129,0.08527131782945736,other,0.6363636363636364,-0.06201550387596899,-0.007751937984496124,-0.0428444941900043,-0.06568844592100406,<a_17>:49 || <a_223>:45 || <a_105>:22 || <a_178>:11 || <a_51>:2
<a_91>,123,0.024390243902439025,3d_filament,0.9305555555555556,-0.17886178861788618,0.0,-0.06643260507547913,0.008130081300813009,<a_23>:51 || <a_123>:27 || <a_206>:15 || <a_66>:12 || <a_154>:7
<a_108>,117,0.1111111111111111,connector_fitting,0.5384615384615384,-0.1794871794871795,-0.03418803418803419,0.16256870045054903,0.13404558404558406,<a_198>:41 || <a_236>:30 || <a_239>:21 || <a_125>:7 || <a_22>:5
<a_71>,115,0.043478260869565216,other,0.6271186440677966,-0.12173913043478261,-0.034782608695652174,0.028154055079958037,0.04434782608695652,<a_96>:25 || <a_187>:20 || <a_253>:15 || <a_65>:11 || <a_172>:8
<a_67>,109,0.12844036697247707,connector_fitting,0.5714285714285714,-0.10091743119266056,-0.027522935779816515,0.1127455963029951,0.007536041939711662,<a_243>:68 || <a_118>:13 || <a_236>:8 || <a_247>:6 || <a_15>:4
<a_228>,101,0.18811881188118812,connector_fitting,0.5625,-0.019801980198019802,-0.019801980198019802,0.03339185841362708,0.022277227722772283,<a_247>:69 || <a_125>:22 || <a_22>:5 || <a_99>:4 || <a_118>:1
<a_24>,88,0.022727272727272728,other,0.7142857142857143,-0.10227272727272728,0.0,0.03347369651727252,0.003219696969696971,<a_44>:35 || <a_227>:28 || <a_1>:14 || <a_69>:3 || <a_34>:3
<a_73>,87,0.06896551724137931,other,0.5350877192982456,-0.2988505747126437,0.0,0.010096754676029784,-0.06551724137931036,<a_130>:26 || <a_166>:26 || <a_118>:17 || <a_15>:9 || <a_246>:4
<a_210>,86,0.20930232558139536,other,0.9052631578947369,0.0,-0.03488372093023256,-0.0598701357435262,-0.003875968992248061,<a_59>:24 || <a_232>:21 || <a_233>:16 || <a_146>:14 || <a_34>:5
<a_173>,86,0.18604651162790697,other,0.75,0.023255813953488372,-0.011627906976744186,-0.033595589188142656,-0.06201550387596898,<a_112>:70 || <a_1>:6 || <a_211>:3 || <a_2>:2 || <a_89>:2
