idx,item_id,item_title,family,orig_failure_type_at10,orig_hit10,orig_hit1,orig_target_l1,orig_target_l2,orig_l1_bucket_size,orig_l2_bucket_size,orig_l1_family_purity,orig_l2_family_purity,orig_l1_in_history,orig_l2_in_history,sem_target_l1,sem_target_l2,sem_l1_bucket_size,sem_l2_bucket_size,sem_l1_family_purity,sem_l2_family_purity,sem_l1_in_history,sem_l2_in_history,delta_l1_in_history,delta_l2_in_history,delta_l1_purity,delta_l2_purity,delta_l1_bucket_size,delta_l2_bucket_size
0,3681,3D Solutech Real Orange 1.75mm ABS 3D Printer Filament 2.2 LBS (1.0KG),3d_filament,l2_routing_miss_after_l1_hit,0,0,<a_223>,<a_223><b_80>,247,24,0.9676113360323887,1.0,1,1,<a_235>,<a_235><b_202>,128,24,1.0,1.0,1,1,0,0,0.03238866396761131,0.0,-119,0
1,278,"T-Rex 241309 Shurtech Ferociously Strong Tape, 12 Yd L X 1.88 in W, 1-Roll, 12 Yards, Gunmetal Gray",tape,l2_routing_miss_after_l1_hit,0,0,<a_202>,<a_202><b_118>,117,1,0.5470085470085471,1.0,1,0,<a_18>,<a_18><b_59>,85,1,0.5294117647058824,1.0,0,0,-1,0,-0.017596782302664704,0.0,-32,0
2,719,"Gorilla Heavy Duty Construction Adhesive, 2.5 ounce Squeeze Tube, White",adhesive_epoxy,l1_routing_miss,0,0,<a_99>,<a_99><b_53>,32,1,0.53125,1.0,0,0,<a_191>,<a_191><b_98>,11,1,0.45454545454545453,1.0,0,0,0,0,-0.07670454545454547,0.0,-21,0
3,1526,Genova Products 31410CP 1-Inch PVC Pipe Tee - 10 Pack,connector_fitting,l1_routing_miss,0,0,<a_108>,<a_108><b_81>,143,1,0.5384615384615384,1.0,0,0,<a_22>,<a_22><b_117>,18,1,0.6666666666666666,1.0,0,0,0,0,0.1282051282051282,0.0,-125,0
4,658,Stanley R120 Rivet Pack Assortment,fastener,l2_routing_miss_after_l1_hit,0,0,<a_224>,<a_224><b_76>,191,1,0.7329842931937173,1.0,1,0,<a_86>,<a_86><b_103>,50,2,0.92,1.0,0,0,-1,0,0.18701570680628277,0.0,-141,1
5,103,"Osborn International 75116SP Steel File Card, 3-3/4"" Brush Area Length",other,l1_routing_miss,0,0,<a_180>,<a_180><b_106>,81,1,0.8888888888888888,1.0,0,0,<a_1>,<a_1><b_95>,29,1,0.6896551724137931,1.0,0,0,0,0,-0.1992337164750957,0.0,-52,0
6,266,"iGaging ABSOLUTE ORIGIN 0-6"" Digital Electronic Caliper - IP54 Protection/Extreme Accuracy",gauge_meter,l1_routing_miss,0,0,<a_104>,<a_104><b_60>,60,1,0.5,1.0,0,0,<a_77>,<a_77><b_177>,40,1,0.65,1.0,0,0,0,0,0.15000000000000002,0.0,-20,0
7,675,J-B Weld 8265S Original Cold-Weld Steel Reinforced Epoxy - 2 oz.,adhesive_epoxy,l1_routing_miss,0,0,<a_165>,<a_165><b_59>,72,4,0.8055555555555556,1.0,0,0,<a_254>,<a_254><b_119>,65,3,0.9384615384615385,1.0,0,0,0,0,0.13290598290598288,0.0,-7,-1
8,511,"Nicholson 06706N Axe File, 8-Inch",other,l1_routing_miss,0,0,<a_193>,<a_193><b_240>,133,3,0.8045112781954887,0.6666666666666666,0,0,<a_85>,<a_85><b_67>,47,1,0.723404255319149,1.0,0,0,0,0,-0.08110702287633975,0.33333333333333337,-86,-2
9,1391,"Seek Thermal Reveal Thermal Imaging Camera and LED Light, Blue",other,l2_routing_miss_after_l1_hit,0,0,<a_107>,<a_107><b_104>,66,1,0.7575757575757576,1.0,0,0,<a_35>,<a_35><b_141>,45,1,0.4888888888888889,1.0,1,0,1,0,-0.2686868686868687,0.0,-21,0
10,2253,"CS Hyde High Temperature Fiberglass Tape With Silicone Adhesive, Ivory 1/2 inch x 36 yards",adhesive_epoxy,l1_routing_miss,0,0,<a_233>,<a_233><b_86>,20,1,0.6,1.0,0,0,<a_195>,<a_195><b_48>,30,1,0.6333333333333333,1.0,0,0,0,0,0.033333333333333326,0.0,10,0
11,450,"X-Treme Tape TPE-X36ZLB Silicone Rubber Self Fusing Tape, 1"" x 36', Triangular, Black",tape,leaf_or_ranking_miss_after_l2_hit,0,0,<a_202>,<a_202><b_198>,117,10,0.5470085470085471,1.0,1,1,<a_18>,<a_18><b_48>,85,10,0.5294117647058824,1.0,1,1,0,0,-0.017596782302664704,0.0,-32,0
12,59,Loctite Ultra Gel Control Super Glue 4-Gram (1363589),adhesive_epoxy,l1_routing_miss,0,0,<a_165>,<a_165><b_214>,72,2,0.8055555555555556,1.0,1,0,<a_175>,<a_175><b_162>,62,3,0.7741935483870968,1.0,1,1,0,1,-0.03136200716845883,0.0,-10,1
13,1374,HHIP 4401-0811 Mini Universal Magnetic Base with Fine,other,l1_routing_miss,0,0,<a_104>,<a_104><b_85>,60,1,0.5,1.0,0,0,<a_149>,<a_149><b_14>,19,2,0.631578947368421,1.0,0,0,0,0,0.13157894736842102,0.0,-41,1
14,3340,"E-Projects 25EP514150R 150 Ohm Resistors, 1/4 W, 5% (Pack of 25)",tape,l2_routing_miss_after_l1_hit,0,0,<a_73>,<a_73><b_10>,114,4,0.5350877192982456,1.0,1,0,<a_130>,<a_130><b_23>,68,9,0.4117647058823529,1.0,0,0,-1,0,-0.12332301341589269,0.0,-46,5
15,352,General Tools 1261-4 1/2-Inch Grommet Refill with 24 Grommets,other,l1_routing_miss,0,0,<a_71>,<a_71><b_70>,118,4,0.6271186440677966,0.75,0,0,<a_19>,<a_19><b_31>,29,1,0.6896551724137931,1.0,0,0,0,0,0.06253652834599654,0.25,-89,-3
16,516,"100pc 1/4"" Grommets Eyelets for Clothes, Leather, Canvas - Self-Backing",other,l2_routing_miss_after_l1_hit,0,0,<a_71>,<a_71><b_127>,118,2,0.6271186440677966,1.0,1,0,<a_153>,<a_153><b_65>,33,1,0.7575757575757576,1.0,0,0,-1,0,0.13045711350796096,0.0,-85,-1
17,152,"Camco 4ft TastePURE Drinking Water Hose - Lead and BPA Free, Reinforced for Maximum Kink Resistance,  1/2""Inner Diameter (22763)",connector_fitting,l2_routing_miss_after_l1_hit,0,0,<a_228>,<a_228><b_113>,96,1,0.5625,1.0,1,0,<a_125>,<a_125><b_98>,23,1,0.5217391304347826,1.0,0,0,-1,0,-0.040760869565217406,0.0,-73,0
18,1080,"PYREX 2L Narrow Mouth Erlenmeyer Flasks with Heavy Duty Rim, 1/pk",other,l1_routing_miss,0,0,<a_94>,<a_94><b_195>,111,7,0.7747747747747747,0.8571428571428571,0,0,<a_117>,<a_117><b_149>,64,5,0.890625,1.0,0,0,0,0,0.11585022522522526,0.1428571428571429,-47,-2
19,326,J-B Weld 8276 KwikWeld Quick Setting Steel Reinforced Epoxy - 2 oz.,adhesive_epoxy,l1_routing_miss,0,0,<a_165>,<a_165><b_59>,72,4,0.8055555555555556,1.0,0,0,<a_254>,<a_254><b_119>,65,3,0.9384615384615385,1.0,0,0,0,0,0.13290598290598288,0.0,-7,-1
20,1098,J-B Weld 50112 ClearWeld Quick-Setting Epoxy Syringe - Dries Clear - 25 ml,adhesive_epoxy,l2_routing_miss_after_l1_hit,0,0,<a_165>,<a_165><b_159>,72,1,0.8055555555555556,1.0,1,0,<a_254>,<a_254><b_7>,65,2,0.9384615384615385,1.0,1,0,0,0,0.13290598290598288,0.0,-7,1
