family,catalog_items,orig_l1_count,r720b_l1_count,orig_items_per_l1,r720b_items_per_l1,orig_l2_count,r720b_l2_count,orig_items_per_l2,r720b_items_per_l2
other,2065,45,222,45.888888888888886,9.301801801801801,1459,1761,1.415352981494174,1.1726291879613855
3d_filament,386,21,38,18.38095238095238,10.157894736842104,149,200,2.5906040268456376,1.93
gauge_meter,338,29,85,11.655172413793103,3.976470588235294,224,253,1.5089285714285714,1.3359683794466404
connector_fitting,274,19,43,14.421052631578947,6.372093023255814,164,204,1.670731707317073,1.3431372549019607
tape,217,22,40,9.863636363636363,5.425,137,164,1.583941605839416,1.3231707317073171
fastener,187,27,49,6.925925925925926,3.816326530612245,117,162,1.5982905982905984,1.154320987654321
adhesive_epoxy,125,14,29,8.928571428571429,4.310344827586207,92,98,1.358695652173913,1.2755102040816326
ventilation_fan,58,24,33,2.4166666666666665,1.7575757575757576,50,51,1.16,1.1372549019607843
metadata_placeholder,27,3,4,9.0,6.75,24,24,1.125,1.125
test_strip,9,3,4,3.0,2.25,5,9,1.8,1.0
