idx,item_id,title,family,eval_count_global,r720b_output_sid,r720b_top1_sid,r720b_hit1,r720b_hit10,r720b_hit50,r720b_top1_item_ids,r720b_top1_titles,orig_align_output_sid,orig_align_top1_sid,orig_align_hit1,orig_align_hit10,orig_align_hit50,orig_align_top1_item_ids,orig_align_top1_titles,orig_best_output_sid,orig_best_top1_sid,orig_best_hit1,orig_best_hit10,orig_best_hit50,orig_best_top1_item_ids,orig_best_top1_titles
17,152,"Camco 4ft TastePURE Drinking Water Hose - Lead and BPA Free, Reinforced for Maximum Kink Resistance,  1/2""Inner Diameter (22763)",connector_fitting,10,<a_165><b_71><c_94>,<a_99><b_213><c_161>,0,0,0,2229,Uxcell a11093000ux0385 10x 8 Pin DIP IC Sockets Adaptor Solder Type Socket,<a_228><b_113><c_68>,<a_210><b_171><c_62>,0,1,1,2607,Muslin Bags 10 Count,<a_228><b_113><c_68>,<a_228><b_187><c_137>,0,0,1,399,Anytime Tools 48 pc HEAT SHRINK TUBING WRAP SLEEVES ASSORTED SIZES
49,3475,"3D Solutech Real Orange 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament,11,<a_58><b_226><c_8>,<a_58><b_78><c_0>,0,0,1,2909,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",<a_223><b_80><c_23>,<a_223><b_80><c_84>,0,1,1,2909,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",<a_223><b_80><c_23>,<a_223><b_80><c_84>,0,0,1,2909,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS"
51,3468,"3D Solutech Real Green 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament,11,<a_188><b_229><c_2>,<a_58><b_78><c_0>,0,0,0,2909,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",<a_223><b_246><c_0>,<a_223><b_80><c_0>,0,1,1,2659|3557|3631,"3D Solutech Apple Green 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) | 3D Solutech Chocolate Brown 3D Printer PLA Filament 1.75MM Filament 2.2 LBS (1.0KG)",<a_223><b_246><c_0>,<a_223><b_80><c_101>,0,0,1,3494,"3D Solutech Real Yellow 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)"
136,2530,"Think Safe 1095TS 7"" Trauma Shear",other,2,<a_103><b_247><c_34>,<a_60><b_33><c_45>,0,0,1,2588,"Pac-Kit by First Aid Only 4-007 Non-Woven Triangular Bandage with 2 Fastening Hooks, 56"" Length x 40"" Width",<a_44><b_182><c_228>,<a_44><b_197><c_182>,0,1,1,2427,Pac-Kit by First Aid Only 12-080 BZK First Aid Antiseptic Towelette (Box of 25),<a_44><b_182><c_228>,<a_44><b_38><c_230>,0,1,1,2404,Pac-Kit by First Aid Only 90358 Pour Woundseal Blood Clotting Powder Pack (Box of 2)
143,2660,"3D Solutech Real Grey 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament,10,<a_58><b_78><c_61>,<a_58><b_78><c_0>,0,0,1,2909,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",<a_223><b_80><c_158>,<a_223><b_80><c_84>,0,1,1,2909,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",<a_223><b_80><c_158>,<a_223><b_80><c_84>,0,1,1,2909,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS"
160,151,"Monoprice Hook & Loop Fastening Tape 5 yard/roll, 0.75-inch - Blue (105830)",tape,7,<a_175><b_79><c_163>,<a_52><b_74><c_237>,0,0,0,466,"Best Choice Products 4-Wheel Foldable Rolling Warehouse Moving Flatbed Platform Dolly Push Cart w/ 330lb Capacity, Non-Slip Surface - Blue",<a_68><b_98><c_239>,<a_87><b_177><c_14>,0,1,1,466,"Best Choice Products 4-Wheel Foldable Rolling Warehouse Moving Flatbed Platform Dolly Push Cart w/ 330lb Capacity, Non-Slip Surface - Blue",<a_68><b_98><c_239>,<a_107><b_93><c_0>,0,0,0,181|182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator | AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator"
176,560,"Litmus pH Test Strips, Universal Application (pH 1-14), 2 Packs of 100 Strips",test_strip,6,<a_69><b_153><c_113>,<a_131><b_6><c_0>,0,0,0,181|182,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator | AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",<a_94><b_166><c_155>,<a_180><b_221><c_238>,0,1,1,2410,"Heathrow Scientific HD15909 Spatula with Flat End and Spoon End, 9"" Overall Length",<a_94><b_166><c_155>,<a_94><b_166><c_155>,1,1,1,560,"Litmus pH Test Strips, Universal Application (pH 1-14), 2 Packs of 100 Strips"
208,2718,Inland 1.75mm Pink PLA 3D Printer Filament - 1kg Spool (2.2 lbs),3d_filament,6,<a_237><b_122><c_25>,<a_237><b_122><c_152>,0,0,0,2934,Inland 1.75mm Yellow PLA 3D Printer Filament - 1kg Spool (2.2 lbs),<a_158><b_72><c_220>,<a_158><b_72><c_88>,0,1,1,2979,Inland 1.75mm Gray PLA 3D Printer Filament - 1kg Spool (2.2 lbs),<a_158><b_72><c_220>,<a_223><b_198><c_114>,0,0,1,444,"HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White"
209,3466,"3D Solutech Real Red 3D Printer PLA Filament 1.75MM, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - RA-I00I-DQUY",3d_filament,11,<a_58><b_78><c_1>,<a_58><b_78><c_0>,0,0,1,2909,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",<a_223><b_80><c_165>,<a_223><b_80><c_84>,0,1,1,2909,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",<a_223><b_80><c_165>,<a_223><b_80><c_3>,0,1,1,3112|3493,"3D Solutech Real Black 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175RBLK | 3D Solutech Printer Filament, Real Blue PLA, 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 1.1 LBS (0.5KG)"
220,3112,"3D Solutech Real Black 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175RBLK",3d_filament,32,<a_58><b_78><c_198>,<a_58><b_172><c_168>,0,0,1,1850,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Red",<a_223><b_80><c_3>,<a_223><b_80><c_84>,0,1,1,2909,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",<a_223><b_80><c_3>,<a_223><b_160><c_251>,0,1,1,2477,BAMtack! 1.75mm Black PLA 3D Printer Filament - 1kg (2.2 lbs) - Dimensional Accuracy +/- 0.03mm
