family,pred1_l1,count,share_in_family_l1_missing,bucket_size,bucket_purity,bucket_top_family
3d_filament,<a_142>,131,0.2668024439918534,77,0.987012987012987,3d_filament
3d_filament,<a_165>,80,0.1629327902240326,58,0.9655172413793104,3d_filament
3d_filament,<a_123>,52,0.10590631364562118,27,0.6666666666666666,3d_filament
3d_filament,<a_168>,38,0.07739307535641547,67,0.8059701492537313,3d_filament
3d_filament,<a_209>,26,0.05295315682281059,36,1.0,3d_filament
3d_filament,<a_170>,14,0.028513238289205704,20,0.95,other
3d_filament,<a_223>,11,0.02240325865580448,42,0.9761904761904762,3d_filament
3d_filament,<a_160>,7,0.014256619144602852,14,0.6428571428571429,other
3d_filament,<a_101>,5,0.010183299389002037,14,0.5,gauge_meter
3d_filament,<a_120>,5,0.010183299389002037,26,0.7692307692307693,other
gauge_meter,<a_160>,22,0.08527131782945736,14,0.6428571428571429,other
gauge_meter,<a_142>,14,0.05426356589147287,77,0.987012987012987,3d_filament
gauge_meter,<a_170>,12,0.046511627906976744,20,0.95,other
gauge_meter,<a_122>,10,0.03875968992248062,26,1.0,tape
gauge_meter,<a_140>,7,0.027131782945736434,41,0.975609756097561,other
gauge_meter,<a_168>,6,0.023255813953488372,67,0.8059701492537313,3d_filament
gauge_meter,<a_236>,6,0.023255813953488372,39,0.9743589743589743,tape
gauge_meter,<a_251>,6,0.023255813953488372,33,0.9090909090909091,fastener
gauge_meter,<a_19>,5,0.01937984496124031,24,0.5416666666666666,gauge_meter
gauge_meter,<a_81>,5,0.01937984496124031,21,0.7619047619047619,gauge_meter
connector_fitting,<a_160>,18,0.08450704225352113,14,0.6428571428571429,other
connector_fitting,<a_222>,14,0.06572769953051644,44,1.0,connector_fitting
connector_fitting,<a_170>,11,0.051643192488262914,20,0.95,other
connector_fitting,<a_103>,9,0.04225352112676056,34,0.9705882352941176,connector_fitting
connector_fitting,<a_142>,7,0.03286384976525822,77,0.987012987012987,3d_filament
connector_fitting,<a_191>,7,0.03286384976525822,20,1.0,other
connector_fitting,<a_52>,6,0.028169014084507043,27,0.7407407407407407,connector_fitting
connector_fitting,<a_81>,6,0.028169014084507043,21,0.7619047619047619,gauge_meter
connector_fitting,<a_255>,5,0.023474178403755867,19,0.7368421052631579,other
connector_fitting,<a_123>,5,0.023474178403755867,27,0.6666666666666666,3d_filament
tape,<a_160>,23,0.1013215859030837,14,0.6428571428571429,other
tape,<a_142>,13,0.05726872246696035,77,0.987012987012987,3d_filament
tape,<a_81>,8,0.03524229074889868,21,0.7619047619047619,gauge_meter
tape,<a_122>,8,0.03524229074889868,26,1.0,tape
tape,<a_170>,6,0.02643171806167401,20,0.95,other
tape,<a_123>,6,0.02643171806167401,27,0.6666666666666666,3d_filament
tape,<a_107>,6,0.02643171806167401,29,1.0,other
tape,<a_236>,6,0.02643171806167401,39,0.9743589743589743,tape
tape,<a_99>,5,0.022026431718061675,21,0.47619047619047616,other
tape,<a_187>,5,0.022026431718061675,36,0.75,other
adhesive_epoxy,<a_122>,14,0.07692307692307693,26,1.0,tape
adhesive_epoxy,<a_81>,12,0.06593406593406594,21,0.7619047619047619,gauge_meter
adhesive_epoxy,<a_142>,10,0.054945054945054944,77,0.987012987012987,3d_filament
adhesive_epoxy,<a_160>,8,0.04395604395604396,14,0.6428571428571429,other
adhesive_epoxy,<a_191>,6,0.03296703296703297,20,1.0,other
adhesive_epoxy,<a_236>,5,0.027472527472527472,39,0.9743589743589743,tape
adhesive_epoxy,<a_67>,5,0.027472527472527472,20,0.55,adhesive_epoxy
adhesive_epoxy,<a_190>,5,0.027472527472527472,17,0.8235294117647058,tape
adhesive_epoxy,<a_123>,5,0.027472527472527472,27,0.6666666666666666,3d_filament
adhesive_epoxy,<a_251>,4,0.02197802197802198,33,0.9090909090909091,fastener
other,<a_160>,160,0.10249839846252402,14,0.6428571428571429,other
other,<a_81>,79,0.05060858424087124,21,0.7619047619047619,gauge_meter
other,<a_170>,65,0.04163997437540039,20,0.95,other
other,<a_142>,53,0.033952594490711085,77,0.987012987012987,3d_filament
other,<a_222>,50,0.032030749519538756,44,1.0,connector_fitting
other,<a_122>,46,0.029468289557975657,26,1.0,tape
other,<a_165>,36,0.023062139654067906,58,0.9655172413793104,3d_filament
other,<a_123>,35,0.02242152466367713,27,0.6666666666666666,3d_filament
other,<a_191>,30,0.019218449711723255,20,1.0,other
other,<a_31>,30,0.019218449711723255,18,0.5555555555555556,other
