comparison,family,count,mean_r720e_l1_size,mean_r720e_l1_purity,mean_r720b_l1_size,mean_r720b_l1_purity
e_win_vs_r720b,3d_filament,89,60.39325842696629,0.8867062915245097,82.65168539325843,0.9684620037979068
e_win_vs_r720b,other,39,20.58974358974359,0.8370655469037033,17.846153846153847,0.833689830209835
e_win_vs_r720b,gauge_meter,12,25.416666666666668,0.7060193096377306,24.166666666666668,0.7258025929927459
e_win_vs_r720b,connector_fitting,12,36.083333333333336,0.8333333333333334,18.333333333333332,0.7837418300653595
e_win_vs_r720b,tape,9,25.77777777777778,0.9312678062678061,20.11111111111111,0.9286616161616164
e_win_vs_r720b,adhesive_epoxy,7,18.714285714285715,0.8424812030075187,22.857142857142858,0.9785714285714285
e_win_vs_r720b,fastener,5,27.4,0.8557196969696971,21.6,0.9640000000000001
e_win_vs_r720b,ventilation_fan,3,17.0,0.566137566137566,16.0,0.5574074074074075
e_win_vs_r720b,test_strip,2,17.0,0.5294117647058824,12.0,0.5
e_miss_vs_r720b,3d_filament,62,59.20967741935484,0.8612012949364856,86.40322580645162,0.9537110771078902
e_miss_vs_r720b,other,39,20.974358974358974,0.8231363237121082,17.05128205128205,0.8338852095044044
e_miss_vs_r720b,gauge_meter,23,17.695652173913043,0.7698984732232812,15.0,0.7963297571993225
e_miss_vs_r720b,connector_fitting,8,31.25,0.806714519949814,23.625,0.8646422511312217
e_miss_vs_r720b,adhesive_epoxy,7,24.285714285714285,0.7791912212964844,27.285714285714285,0.8874458874458874
e_miss_vs_r720b,tape,5,25.2,0.9,20.0,0.8272727272727274
e_miss_vs_r720b,fastener,2,26.5,0.8675438596491228,18.0,0.7625
e_miss_vs_r720b,metadata_placeholder,2,19.0,1.0,15.0,1.0
e_win_vs_orig_align,3d_filament,90,61.51111111111111,0.8951940798569724,83.22222222222223,0.9694817700207681
e_win_vs_orig_align,other,37,21.08108108108108,0.8256721375857532,17.513513513513512,0.8300604051765044
e_win_vs_orig_align,gauge_meter,21,21.19047619047619,0.6856494591456999,17.714285714285715,0.7735272524746208
e_win_vs_orig_align,tape,15,24.2,0.9469959778783308,20.6,0.9065876152832674
e_win_vs_orig_align,connector_fitting,10,39.6,0.9387799564270154,21.6,0.9333653846153845
e_win_vs_orig_align,fastener,5,31.6,0.8323863636363636,21.6,0.914
e_win_vs_orig_align,adhesive_epoxy,5,22.6,0.7164864864864866,24.6,0.9012121212121211
e_win_vs_orig_align,metadata_placeholder,2,19.0,1.0,15.0,1.0
e_win_vs_orig_align,test_strip,1,17.0,0.5294117647058824,12.0,0.5
e_win_vs_orig_align,ventilation_fan,1,18.0,0.5555555555555556,15.0,0.5333333333333333
e_miss_vs_orig_align,3d_filament,103,56.70873786407767,0.8373125168432198,84.06796116504854,0.9193629344924126
e_miss_vs_orig_align,other,34,20.91176470588235,0.8197510835607378,17.5,0.839591538947303
e_miss_vs_orig_align,gauge_meter,19,17.526315789473685,0.7124752612368711,15.31578947368421,0.7613465481886534
e_miss_vs_orig_align,connector_fitting,14,30.357142857142858,0.8513719926811479,22.571428571428573,0.8362960568842922
e_miss_vs_orig_align,adhesive_epoxy,10,20.7,0.8716642958748222,24.1,0.9094522144522145
e_miss_vs_orig_align,tape,5,19.6,0.8297435897435896,19.4,0.8795783926218709
e_miss_vs_orig_align,fastener,2,28.0,0.575,12.0,0.5504201680672269
e_miss_vs_orig_align,ventilation_fan,1,21.0,0.47619047619047616,24.0,0.5833333333333334
e_win_vs_v2,3d_filament,66,60.31818181818182,0.9036660662543786,79.46969696969697,0.9582016834711826
e_win_vs_v2,other,32,20.0,0.8344515884605037,18.90625,0.854566744019869
e_win_vs_v2,gauge_meter,20,19.15,0.6616299270904534,16.85,0.761830808080808
e_win_vs_v2,connector_fitting,9,38.55555555555556,0.9355317884729649,22.666666666666668,0.9832516339869282
e_win_vs_v2,tape,5,26.0,0.9846153846153847,20.8,0.8897727272727274
e_win_vs_v2,adhesive_epoxy,3,18.666666666666668,0.7833333333333333,21.666666666666668,0.9666666666666667
e_win_vs_v2,fastener,3,28.333333333333332,0.684280303030303,20.0,0.8616666666666667
e_win_vs_v2,ventilation_fan,2,19.5,0.5158730158730158,19.5,0.5583333333333333
e_miss_vs_v2,3d_filament,70,60.18571428571428,0.8551951396396658,90.5,0.9677961655637063
e_miss_vs_v2,other,30,19.066666666666666,0.7927432160035421,15.7,0.8743726726776263
e_miss_vs_v2,connector_fitting,15,25.733333333333334,0.7261267309151725,22.933333333333334,0.7957678595913891
e_miss_vs_v2,gauge_meter,7,15.428571428571429,0.6604641856742698,14.571428571428571,0.6632653061224489
e_miss_vs_v2,adhesive_epoxy,6,20.166666666666668,0.7020227657998556,21.666666666666668,0.8133727383727383
e_miss_vs_v2,ventilation_fan,4,22.0,0.5614285714285714,12.25,0.6615384615384616
e_miss_vs_v2,tape,3,34.666666666666664,0.982905982905983,23.666666666666668,0.9407114624505929
e_miss_vs_v2,metadata_placeholder,3,19.0,1.0,15.0,1.0
e_miss_vs_v2,test_strip,2,17.0,0.5294117647058824,12.0,0.5
e_miss_vs_v2,fastener,1,32.0,0.59375,17.0,0.5882352941176471
