variant,family,count,family_l1_count,avg_items_per_l1,avg_bucket_purity,same_l1_pair_share,largest_bucket_size,largest_bucket_l1
original,other,2065,45,45.89,0.7272,0.0308,118,193
original,fastener,187,27,6.93,0.4084,0.3982,117,224
original,adhesive_epoxy,125,14,8.93,0.4983,0.2533,59,165
original,connector_fitting,274,19,14.42,0.5023,0.2284,94,67
original,tape,217,22,9.86,0.6314,0.3014,115,202
original,gauge_meter,338,29,11.66,0.3082,0.0663,42,42
original,3d_filament,386,21,18.38,0.7394,0.3939,229,223
original,metadata_placeholder,27,3,9.0,0.6962,0.7892,24,15
original,ventilation_fan,58,24,2.42,0.0683,0.0563,9,210
original,test_strip,9,3,3.0,0.0362,0.3333,5,94
R720b,other,2065,222,9.3,0.8157,0.006,39,238
R720b,fastener,187,49,3.82,0.6216,0.0543,24,130
R720b,adhesive_epoxy,125,29,4.31,0.5982,0.0806,25,48
R720b,connector_fitting,274,43,6.37,0.7104,0.0521,31,253
R720b,tape,217,40,5.42,0.7448,0.061,26,89
R720b,gauge_meter,338,85,3.98,0.5365,0.0276,33,136
R720b,3d_filament,386,38,10.16,0.8375,0.1373,105,58
R720b,metadata_placeholder,27,4,6.75,0.8142,0.3761,15,191
R720b,ventilation_fan,58,33,1.76,0.2032,0.043,8,3
R720b,test_strip,9,4,2.25,0.3551,0.4167,6,69
R720e,other,2065,177,11.67,0.7876,0.0071,40,140
R720e,fastener,187,41,4.56,0.586,0.0753,30,251
R720e,adhesive_epoxy,125,26,4.81,0.5658,0.0732,18,53
R720e,connector_fitting,274,38,7.21,0.6893,0.0759,44,222
R720e,tape,217,39,5.56,0.6976,0.0799,38,236
R720e,gauge_meter,338,77,4.39,0.4838,0.0314,33,85
R720e,3d_filament,386,43,8.98,0.7897,0.105,76,142
R720e,metadata_placeholder,27,6,4.5,0.7633,0.5043,19,238
R720e,ventilation_fan,58,33,1.76,0.1871,0.0436,8,31
R720e,test_strip,9,3,3.0,0.3462,0.5833,7,183
