variant,pred1_item_id,count,pred1_family,title,top_target_families
r720e,181,300,gauge_meter,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",other:180; tape:29; gauge_meter:26; connector_fitting:20; adhesive_epoxy:14
r720e,1851,157,3d_filament,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Yellow",3d_filament:122; other:23; gauge_meter:4; connector_fitting:2; tape:2
r720e,2979,132,3d_filament,Inland 1.75mm Gray PLA 3D Printer Filament - 1kg Spool (2.2 lbs),3d_filament:110; other:15; gauge_meter:2; fastener:2; adhesive_epoxy:1
r720e,734,115,other,"microtivity IL188 5mm Assorted Clear LED w/Resistors (8 Colors, Pack of 80)",other:70; connector_fitting:11; 3d_filament:11; gauge_meter:9; tape:7
r720e,2333,108,3d_filament,"eSUN 3D Printer CLEANING Filament 1.75mm Natural 0.1kg for all 1.75mm FDM 3D Printers, 1.75mm Cleaning",3d_filament:65; other:30; tape:4; connector_fitting:4; adhesive_epoxy:2
r720e,2544,106,3d_filament,"SainSmart Clear Flexible TPU 3D Printing Filament, 1.75 mm, 0.8 kg, Dimensional Accuracy +/- 0.05 mm",3d_filament:66; other:19; tape:7; gauge_meter:6; connector_fitting:3
r720e,338,105,gauge_meter,"Etekcity Lasergrip 1080 Non-Contact Digital Laser Infrared Thermometer Temperature Gun -58~1022 (-50550), Yellow and Bla",other:61; adhesive_epoxy:11; tape:8; fastener:8; gauge_meter:6
r720e,2157,78,3d_filament,"eSUN 3D 1.75mm PETG Blue Filament 1kg (2.2lb), PETG 3D Printer Filament, 1.75mm Semi-Transparent Blue",3d_filament:55; other:11; adhesive_epoxy:3; fastener:3; gauge_meter:2
r720e,50,75,3d_filament,"HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue",3d_filament:65; other:7; fastener:1; tape:1; adhesive_epoxy:1
r720e,3453,70,3d_filament,"3D Solutech Real Gold 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3d_filament:66; other:4
