variant,family,items,l1_count,l12_count,items_per_l1,largest_l1_share,l1_entropy
original,3d_filament,386,21,149,18.38095238095238,0.5932642487046632,1.4330935370597293
original,gauge_meter,338,29,224,11.655172413793103,0.1242603550295858,2.9474621889959494
original,tape,217,22,137,9.863636363636363,0.5299539170506913,1.8686586390915456
original,connector_fitting,274,19,164,14.421052631578947,0.34306569343065696,1.9304150389119923
original,adhesive_epoxy,125,14,92,8.928571428571429,0.472,1.8760722000905563
original,fastener,187,27,117,6.925925925925926,0.6256684491978609,1.7511301960718106
original,ventilation_fan,58,24,50,2.4166666666666665,0.15517241379310345,2.8946546021319257
original,other,2065,45,1459,45.888888888888886,0.05714285714285714,3.6054613261795265
v2,3d_filament,386,46,185,8.391304347826088,0.25129533678756477,2.910408086222042
v2,gauge_meter,338,80,245,4.225,0.0650887573964497,3.9304860541451765
v2,tape,217,44,167,4.931818181818182,0.15668202764976957,3.1093594364397164
v2,connector_fitting,274,44,193,6.2272727272727275,0.14233576642335766,3.1021056953864607
v2,adhesive_epoxy,125,28,99,4.464285714285714,0.136,2.8476881287586604
v2,fastener,187,54,155,3.462962962962963,0.19786096256684493,3.1418731223565795
v2,ventilation_fan,58,34,51,1.7058823529411764,0.13793103448275862,3.2429312199597082
v2,other,2065,183,1641,11.28415300546448,0.015980629539951573,4.991165972030043
r720b,3d_filament,386,38,200,10.157894736842104,0.27202072538860106,2.5274355405450164
r720b,gauge_meter,338,85,253,3.976470588235294,0.09763313609467456,3.9272447160541253
r720b,tape,217,40,164,5.425,0.11981566820276497,3.0426041144306395
r720b,connector_fitting,274,43,204,6.372093023255814,0.11313868613138686,3.1913116267165167
r720b,adhesive_epoxy,125,29,98,4.310344827586207,0.2,2.8550146420136207
r720b,fastener,187,49,162,3.816326530612245,0.12834224598930483,3.2590103994449513
r720b,ventilation_fan,58,33,51,1.7575757575757576,0.13793103448275862,3.190962921855372
r720b,other,2065,222,1761,9.301801801801801,0.018886198547215495,5.19253375933375
r720e,3d_filament,386,43,199,8.976744186046512,0.19689119170984457,2.6655809571446416
r720e,gauge_meter,338,77,245,4.3896103896103895,0.09763313609467456,3.8009707894796767
r720e,tape,217,39,154,5.564102564102564,0.17511520737327188,2.876726391500189
r720e,connector_fitting,274,38,181,7.2105263157894735,0.16058394160583941,2.9209992925674295
r720e,adhesive_epoxy,125,26,98,4.8076923076923075,0.144,2.8096024533087025
r720e,fastener,187,41,151,4.560975609756097,0.16042780748663102,2.976745346282382
r720e,ventilation_fan,58,33,52,1.7575757575757576,0.13793103448275862,3.1819414021352936
r720e,other,2065,177,1670,11.666666666666666,0.01937046004842615,5.001131284097319
r720f_k1_128,3d_filament,386,33,190,11.696969696969697,0.2694300518134715,2.474820364591322
r720f_k1_128,gauge_meter,338,64,240,5.28125,0.07988165680473373,3.572533676218499
r720f_k1_128,tape,217,33,154,6.575757575757576,0.19815668202764977,2.5339406525939268
r720f_k1_128,connector_fitting,274,38,195,7.2105263157894735,0.14963503649635038,2.963593217319128
r720f_k1_128,adhesive_epoxy,125,21,96,5.9523809523809526,0.272,2.358089428349418
r720f_k1_128,fastener,187,41,148,4.560975609756097,0.18181818181818182,2.9433290904559914
r720f_k1_128,ventilation_fan,58,31,52,1.8709677419354838,0.15517241379310345,3.1229558083673608
r720f_k1_128,other,2065,119,1631,17.352941176470587,0.022760290556900726,4.582317203598804
